"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.947021500E-2,1.197100803E-2,-1.149216816E-1,9.612719536E0
2.703857420E-1,3.351882473E-2,-1.173158810E-1,9.607931137E0
5.215454100E-1,2.633621916E-2,-1.268926859E-1,9.615114212E0
7.726440430E-1,1.915361360E-2,-1.149216816E-1,9.595960617E0
1.023620605E0,3.351882473E-2,-1.244984865E-1,9.612719536E0
1.274841308E0,2.394201607E-2,-1.173158810E-1,9.603142738E0
1.525970459E0,2.154781483E-2,-1.125274822E-1,9.615114212E0
1.777008056E0,1.675941236E-2,-1.292868853E-1,9.619902611E0
2.028228760E0,1.675941236E-2,-1.221042871E-1,9.610325813E0
2.279235840E0,2.154781483E-2,-1.197100878E-1,9.612719536E0
2.530334472E0,1.915361360E-2,-1.173158810E-1,9.619902611E0
2.781402588E0,2.394201607E-2,-1.173158810E-1,9.622296333E0
3.032562256E0,2.633621916E-2,-1.197100878E-1,9.622296333E0
3.283721924E0,1.915361360E-2,-1.221042871E-1,9.612719536E0
3.534942627E0,2.633621916E-2,-1.244984865E-1,9.610325813E0
3.786163330E0,2.633621916E-2,-1.173158810E-1,9.605537415E0
4.037292480E0,2.633621916E-2,-1.149216816E-1,9.612719536E0
4.288513183E0,2.154781483E-2,-1.197100878E-1,9.622296333E0
4.539825439E0,1.197100803E-2,-1.077390760E-1,9.605537415E0
4.791076660E0,2.154781483E-2,-1.173158810E-1,9.622296333E0
5.042053222E0,1.915361360E-2,-1.149216816E-1,9.605537415E0
5.293029785E0,3.830722719E-2,-1.292868853E-1,9.605537415E0
5.544128418E0,2.394201607E-2,-1.101332754E-1,9.615114212E0
5.795135498E0,3.351882473E-2,-1.053448766E-1,9.600749016E0
6.046325683E0,-7.182605099E-3,-1.125274822E-1,9.610325813E0
6.297302246E0,2.154781483E-2,-1.221042871E-1,9.653421402E0
6.548492431E0,4.788403213E-2,-1.005564705E-1,9.595960617E0
6.799652099E0,4.070143029E-2,-9.816227108E-2,9.600749016E0
7.051147461E0,2.394201607E-2,-1.268926859E-1,9.634267807E0
7.302246094E0,0.000000000E0,-1.149216816E-1,9.636661530E0
7.553253174E0,-1.436521020E-2,-1.125274822E-1,9.627084732E0
7.804626465E0,7.182605099E-3,-1.316810995E-1,9.598354340E0
8.055906472E0,2.633621916E-2,-1.221042871E-1,9.619902611E0
8.307005104E0,7.182605099E-3,-1.053448766E-1,9.619902611E0
8.558134255E0,4.788403399E-3,-1.005564705E-1,9.557653427E0
8.809202370E0,3.112462163E-2,-1.077390760E-1,9.595960617E0
9.060514626E0,3.351882473E-2,-9.576806426E-2,9.605537415E0
9.311826882E0,7.182605099E-3,-9.337386489E-2,9.639056206E0
9.563047585E0,2.394201700E-3,-1.221042871E-1,9.660603523E0
9.813993630E0,3.591302410E-2,-1.316810995E-1,9.612719536E0
1.006515330E1,3.351882473E-2,-1.005564705E-1,9.598354340E0
1.031625193E1,2.154781483E-2,-1.029506698E-1,9.612719536E0
1.056722849E1,2.394201607E-2,-1.029506698E-1,9.624691010E0
1.081835764E1,2.633621916E-2,-1.244984865E-1,9.600749016E0
1.106942576E1,1.436521020E-2,-1.101332754E-1,9.631873131E0
1.132058543E1,0.000000000E0,-1.316810995E-1,9.548076630E0
1.157162302E1,1.197100803E-2,-1.005564705E-1,9.617507935E0
1.182247752E1,9.576806799E-3,-1.125274822E-1,9.588777542E0
1.207345408E1,1.436521020E-2,-1.268926859E-1,9.543288231E0
1.232443064E1,1.915361360E-2,-1.077390760E-1,9.612719536E0
1.257559031E1,5.506663769E-2,-6.703764945E-2,9.861717224E0
1.282656687E1,4.548983276E-2,-1.197100878E-1,9.624691010E0
1.307757395E1,4.548983276E-2,-1.125274822E-1,9.756371498E0
