"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.539062500E-2,-2.130528912E-3,0.000000000E0,-4.793690052E-3
2.763366700E-1,5.326322280E-4,-1.065264456E-3,-1.597896684E-3
5.274658200E-1,-2.130528912E-3,-1.065264456E-3,-2.130528912E-3
7.785644530E-1,5.326322280E-4,1.065264456E-3,-5.326322280E-4
1.029571533E0,0.000000000E0,1.065264456E-3,-5.326322280E-4
1.280761719E0,-1.065264456E-3,5.326322280E-4,-2.663161140E-3
1.531860351E0,0.000000000E0,1.065264456E-3,1.597896684E-3
1.782989502E0,-5.326322280E-4,5.326322280E-4,-2.663161140E-3
2.034149170E0,-2.663161140E-3,-1.065264456E-3,-1.065264456E-3
2.285156250E0,-1.065264456E-3,2.130528912E-3,-1.597896684E-3
2.536254883E0,1.065264456E-3,-1.065264456E-3,3.195793368E-3
2.787322998E0,-3.728425596E-3,-5.326322280E-4,-3.728425596E-3
3.038513183E0,5.326322280E-4,0.000000000E0,2.663161140E-3
3.289642334E0,-2.663161140E-3,1.597896684E-3,5.326322280E-4
3.540893554E0,2.130528912E-3,2.663161140E-3,-5.326322280E-4
3.792083740E0,5.326322280E-4,-1.065264456E-3,0.000000000E0
4.043212890E0,1.597896684E-3,2.130528912E-3,3.728425596E-3
4.294494629E0,-5.326322280E-4,-2.130528912E-3,2.663161140E-3
4.545745849E0,0.000000000E0,2.130528912E-3,-1.597896684E-3
4.796997070E0,2.130528912E-3,-1.065264456E-3,-2.130528912E-3
5.047973633E0,5.326322280E-4,2.663161140E-3,-5.326322280E-4
5.298919678E0,2.130528912E-3,0.000000000E0,1.597896684E-3
5.550048828E0,1.065264456E-3,-1.065264456E-3,-2.130528912E-3
5.801086426E0,-1.065264456E-3,-1.597896684E-3,-2.130528912E-3
6.052276611E0,-5.326322280E-4,-2.130528912E-3,-2.130528912E-3
6.303253174E0,-2.130528912E-3,1.065264456E-3,0.000000000E0
6.554443359E0,-5.326322280E-4,5.326322280E-4,-5.326322280E-4
6.805603027E0,0.000000000E0,4.261057824E-3,1.597896684E-3
7.057098388E0,-3.195793368E-3,1.065264456E-3,-1.597896684E-3
7.308197021E0,1.597896684E-3,3.195793368E-3,0.000000000E0
7.559204101E0,-1.597896684E-3,2.130528912E-3,2.130528912E-3
7.810546875E0,-5.326322280E-4,0.000000000E0,0.000000000E0
8.061857399E0,3.195793368E-3,5.326322280E-4,1.597896684E-3
8.312925514E0,3.195793368E-3,3.195793368E-3,5.326322280E-4
8.564085182E0,3.728425596E-3,0.000000000E0,3.728425596E-3
8.815153298E0,2.130528912E-3,0.000000000E0,-5.326322280E-4
9.066435036E0,-3.195793368E-3,-5.326322280E-4,1.065264456E-3
9.317777809E0,1.597896684E-3,-2.663161140E-3,-1.065264456E-3
9.568967995E0,-1.065264456E-3,-1.065264456E-3,-5.326322280E-3
9.819944557E0,-1.065264456E-3,-2.663161140E-3,1.597896684E-3
1.007107371E1,-2.130528912E-3,5.326322280E-4,0.000000000E0
1.032217234E1,-1.597896684E-3,5.326322280E-4,-5.326322280E-4
1.057317942E1,-5.326322280E-4,-1.065264456E-3,-1.065264456E-3
1.082430857E1,-2.130528912E-3,0.000000000E0,-5.326322280E-4
1.107534617E1,5.326322280E-4,0.000000000E0,1.065264456E-3
1.132653635E1,-5.326322280E-4,-1.065264456E-3,0.000000000E0
1.157757395E1,3.195793368E-3,0.000000000E0,0.000000000E0
1.182845896E1,5.326322280E-4,0.000000000E0,-1.065264456E-3
1.207940501E1,5.326322280E-4,1.065264456E-3,-1.597896684E-3
1.233041209E1,-1.065264456E-3,-1.597896684E-3,-1.065264456E-3
1.258154124E1,5.326322280E-4,6.391586736E-3,0.000000000E0
1.283248728E1,0.000000000E0,-1.065264456E-3,1.065264456E-3
1.308349436E1,2.130528912E-3,1.597896684E-3,2.130528912E-3
1.333453196E1,1.597896684E-3,-3.728425596E-3,-1.597896684E-3
1.358572214E1,5.326322280E-4,0.000000000E0,-2.130528912E-3
1.383682078E1,2.130528912E-3,1.597896684E-3,-2.663161140E-3
1.408816355E1,-5.326322280E-4,-5.326322280E-4,-1.597896684E-3
1.433929270E1,0.000000000E0,0.000000000E0,-3.195793368E-3
1.459045237E1,5.326322280E-4,2.663161140E-3,1.597896684E-3
1.484145945E1,-1.065264456E-3,-3.195793368E-3,-2.663161140E-3
1.509264964E1,-1.065264456E-3,-1.065264456E-3,1.065264456E-3
1.534377879E1,1.065264456E-3,5.326322280E-4,-5.326322280E-4
1.559509104E1,-5.326322280E-4,-1.065264456E-3,1.597896684E-3
1.584612864E1,-1.065264456E-3,1.065264456E-3,-2.663161140E-3
1.609741038E1,0.000000000E0,0.000000000E0,-5.326322280E-4
1.634857005E1,0.000000000E0,2.663161140E-3,1.597896684E-3
1.659966868E1,1.597896684E-3,1.597896684E-3,1.065264456E-3
1.685076731E1,1.065264456E-3,0.000000000E0,-5.326322280E-4
1.710207957E1,-5.326322280E-4,0.000000000E0,-1.597896684E-3
1.735330027E1,-2.663161140E-3,0.000000000E0,0.000000000E0
1.760442942E1,1.065264456E-3,-1.597896684E-3,-1.065264456E-3
1.785549754E1,-5.326322280E-4,1.597896684E-3,0.000000000E0
1.810656565E1,0.000000000E0,5.326322280E-4,0.000000000E0
1.835781687E1,0.000000000E0,-1.065264456E-3,5.326322280E-4
1.860876292E1,-3.728425596E-3,-1.597896684E-3,-1.597896684E-3
1.885986155E1,5.326322280E-4,-2.663161140E-3,-2.130528912E-3
1.911108225E1,-2.663161140E-3,1.065264456E-3,-1.065264456E-3
1.936224192E1,-1.065264456E-3,-1.597896684E-3,5.326322280E-4
1.961340159E1,-5.326322280E-4,5.326322280E-4,0.000000000E0
1.986453074E1,0.000000000E0,-2.130528912E-3,-5.326322280E-4
2.011572092E1,1.065264456E-3,-2.130528912E-3,2.130528912E-3
