"Time (s)","Illuminance (lx)"
0.000000000E0,1.370000000E2
9.806518550E-1,1.390000000E2
1.667297363E0,1.390000000E2
1.961639404E0,1.470000000E2
2.353881836E0,1.490000000E2
2.648254394E0,1.370000000E2
3.334930420E0,1.380000000E2
3.629302978E0,1.370000000E2
4.021728515E0,1.350000000E2
5.002899170E0,1.360000000E2
5.689422607E0,1.380000000E2
5.983642578E0,1.390000000E2
6.670257568E0,1.380000000E2
7.749725342E0,1.390000000E2
8.142301735E0,1.410000000E2
8.436643776E0,1.430000000E2
8.730924782E0,1.470000000E2
9.221677956E0,1.460000000E2
9.516111550E0,1.430000000E2
9.810239968E0,1.400000000E2
1.010449046E1,1.380000000E2
1.039877146E1,1.370000000E2
1.098727244E1,1.380000000E2
1.128152293E1,1.410000000E2
1.196783274E1,1.430000000E2
1.255612010E1,1.430000000E2
1.334054392E1,1.360000000E2
1.510653513E1,1.350000000E2
1.540081614E1,1.360000000E2
1.569521922E1,1.370000000E2
1.638195628E1,1.360000000E2
1.716692942E1,1.370000000E2
1.922689646E1,1.360000000E2
1.952123850E1,1.360000000E2
2.148330515E1,1.370000000E2
2.177786082E1,1.450000000E2
2.217025584E1,1.450000000E2
2.246465891E1,1.370000000E2
2.275900095E1,1.390000000E2
2.324966258E1,1.410000000E2
2.354376048E1,1.360000000E2
2.383810252E1,1.370000000E2
2.413262766E1,1.380000000E2
2.540844553E1,1.370000000E2
2.589880198E1,1.370000000E2
2.668371409E1,1.380000000E2
2.697772044E1,1.770000000E2
2.737005442E1,1.710000000E2
2.766461009E1,1.390000000E2
2.884191721E1,1.370000000E2
2.972433298E1,1.360000000E2
3.060720652E1,1.360000000E2
3.217715281E1,1.350000000E2
3.315838450E1,1.360000000E2
3.404156321E1,1.360000000E2
3.443392771E1,1.370000000E2
3.472854441E1,1.360000000E2
3.502279490E1,1.350000000E2
3.590591258E1,1.350000000E2
3.620016306E1,1.370000000E2
3.649468821E1,1.500000000E2
3.678909129E1,1.490000000E2
3.708334177E1,1.370000000E2
3.816222971E1,1.370000000E2
3.953640574E1,1.360000000E2
4.002712840E1,1.350000000E2
4.051760691E1,1.360000000E2
4.081173618E1,1.360000000E2
4.110595615E1,1.370000000E2
4.208709629E1,1.380000000E2
4.247961338E1,1.370000000E2
4.277395542E1,1.360000000E2
4.355908115E1,1.350000000E2
4.414764316E1,1.360000000E2
4.473623569E1,1.360000000E2
4.571734531E1,1.370000000E2
4.601168735E1,1.360000000E2
4.777807529E1,1.370000000E2
4.895544346E1,1.360000000E2
4.934768589E1,1.370000000E2
4.974001987E1,1.380000000E2
5.023074253E1,1.370000000E2
5.052496250E1,1.350000000E2
5.160467441E1,1.370000000E2
5.189916904E1,1.410000000E2
5.224853428E1,9.400000000E1
5.254302891E1,2.340000000E2
5.293542393E1,2.030000000E2
5.322964390E1,1.670000000E2
5.352395542E1,1.340000000E2
5.440685947E1,1.350000000E2
5.470114048E1,1.340000000E2
5.568215854E1,1.340000000E2
5.627096470E1,1.350000000E2
5.676168735E1,1.360000000E2
5.793890293E1,1.360000000E2
5.823324497E1,1.370000000E2
5.852743442E1,2.340000000E2
5.891995151E1,2.630000000E2
5.921423252E1,1.640000000E2
5.970443638E1,1.370000000E2
5.999874790E1,1.340000000E2
