"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.113769500E-2,2.202000046E1,3.137999916E1,-5.969999695E1
2.919921870E-1,2.165999985E1,3.234000015E1,-6.047999954E1
5.431823730E-1,2.142000008E1,3.209999847E1,-6.102000046E1
7.942199710E-1,2.147999954E1,3.263999939E1,-6.023999786E1
1.045288086E0,2.165999985E1,3.143999863E1,-6.005999756E1
1.296508789E0,2.153999901E1,3.215999985E1,-5.993999863E1
1.547607422E0,2.135999870E1,3.161999893E1,-5.969999695E1
1.798675537E0,2.207999992E1,3.197999954E1,-6.005999756E1
2.049896240E0,2.207999992E1,3.113999939E1,-5.927999878E1
2.300872803E0,2.142000008E1,3.221999741E1,-5.969999695E1
2.552001953E0,2.184000015E1,3.227999878E1,-6.000000000E1
2.803039551E0,2.171999931E1,3.197999954E1,-6.029999924E1
3.054321289E0,2.213999939E1,3.209999847E1,-5.934000015E1
3.305358887E0,2.171999931E1,3.204000092E1,-5.897999954E1
3.556640625E0,2.189999962E1,3.185999870E1,-5.939999771E1
3.807830810E0,2.171999931E1,3.150000000E1,-6.005999756E1
4.058898926E0,2.123999977E1,3.204000092E1,-5.963999939E1
4.310241699E0,2.184000015E1,3.209999847E1,-6.035999680E1
4.561462402E0,2.189999962E1,3.113999939E1,-6.041999817E1
4.812744140E0,2.147999954E1,3.143999863E1,-5.915999985E1
5.063751221E0,2.093999863E1,3.185999870E1,-5.885999680E1
5.314666748E0,2.177999878E1,3.215999985E1,-5.952000046E1
5.565765381E0,2.165999985E1,3.204000092E1,-5.909999847E1
5.816833496E0,2.111999893E1,3.221999741E1,-5.915999985E1
6.067932129E0,2.160000038E1,3.215999985E1,-5.909999847E1
6.318939209E0,2.153999901E1,3.239999771E1,-5.969999695E1
6.570129394E0,2.165999985E1,3.227999878E1,-5.981999969E1
6.821380615E0,2.184000015E1,3.281999969E1,-6.035999680E1
7.072814941E0,2.111999893E1,3.131999969E1,-6.041999817E1
7.323913574E0,2.255999947E1,3.215999985E1,-6.005999756E1
7.575012207E0,2.177999878E1,3.155999947E1,-5.957999802E1
7.826293945E0,2.202000046E1,3.252000046E1,-6.023999786E1
8.077543434E0,2.202000046E1,3.143999863E1,-5.987999725E1
8.328642067E0,2.189999962E1,3.234000015E1,-5.952000046E1
8.579801735E0,2.184000015E1,3.263999939E1,-5.993999863E1
8.830930886E0,2.226000023E1,3.275999832E1,-5.957999802E1
9.082182106E0,2.202000046E1,3.234000015E1,-5.987999725E1
9.333463845E0,2.184000015E1,3.227999878E1,-5.969999695E1
9.584745583E0,2.147999954E1,3.137999916E1,-5.957999802E1
9.835722145E0,2.171999931E1,3.221999741E1,-5.957999802E1
1.008682078E1,2.184000015E1,3.161999893E1,-5.945999908E1
1.033788889E1,2.184000015E1,3.234000015E1,-6.005999756E1
1.058895701E1,2.202000046E1,3.155999947E1,-6.023999786E1
1.084005564E1,2.142000008E1,3.234000015E1,-6.035999680E1
1.109109324E1,2.184000015E1,3.185999870E1,-6.018000031E1
1.134228343E1,2.160000038E1,3.221999741E1,-5.921999741E1
1.159335154E1,2.202000046E1,3.173999977E1,-5.927999878E1
1.184417551E1,2.123999977E1,3.209999847E1,-6.018000031E1
1.209509104E1,2.171999931E1,3.161999893E1,-5.981999969E1
1.234612864E1,2.195999908E1,3.263999939E1,-5.993999863E1
1.259722727E1,2.202000046E1,3.155999947E1,-5.981999969E1
1.284817332E1,2.165999985E1,3.197999954E1,-5.993999863E1
1.309927195E1,2.171999931E1,3.221999741E1,-6.018000031E1
1.335034007E1,2.165999985E1,3.252000046E1,-6.011999893E1
1.360149973E1,2.189999962E1,3.192000008E1,-6.023999786E1
1.385253733E1,2.184000015E1,3.209999847E1,-5.969999695E1
1.410391062E1,2.171999931E1,3.167999840E1,-5.963999939E1
1.435500926E1,2.147999954E1,3.234000015E1,-6.005999756E1
1.460616892E1,2.118000031E1,3.221999741E1,-5.981999969E1
1.485717600E1,2.184000015E1,3.161999893E1,-6.011999893E1
1.510839671E1,2.160000038E1,3.107999992E1,-5.945999908E1
1.535949534E1,2.153999901E1,3.209999847E1,-6.059999847E1
1.561086863E1,2.100000000E1,3.161999893E1,-6.053999710E1
1.586193675E1,2.202000046E1,3.137999916E1,-6.005999756E1
1.611312693E1,2.147999954E1,3.204000092E1,-6.023999786E1
1.636431712E1,2.195999908E1,3.239999771E1,-6.084000015E1
1.661544627E1,2.153999901E1,3.209999847E1,-6.125999832E1
1.686651438E1,2.226000023E1,3.209999847E1,-5.963999939E1
1.711776560E1,2.231999969E1,3.204000092E1,-6.018000031E1
1.736898630E1,2.153999901E1,3.252000046E1,-5.963999939E1
1.762017649E1,2.184000015E1,3.155999947E1,-5.993999863E1
1.787130564E1,2.189999962E1,3.089999962E1,-6.011999893E1
1.812237376E1,2.189999962E1,3.126000023E1,-5.934000015E1
1.837347239E1,2.129999924E1,3.209999847E1,-6.053999710E1
1.862450999E1,2.165999985E1,3.150000000E1,-5.981999969E1
1.887566966E1,2.160000038E1,3.245999908E1,-5.987999725E1
1.912679880E1,2.177999878E1,3.161999893E1,-6.023999786E1
1.937798899E1,2.226000023E1,3.150000000E1,-5.975999832E1
1.962914866E1,2.111999893E1,3.161999893E1,-5.969999695E1
1.988027781E1,2.226000023E1,3.239999771E1,-6.005999756E1
2.013143748E1,2.057999992E1,3.137999916E1,-5.945999908E1
2.038265818E1,2.111999893E1,3.257999802E1,-5.993999863E1
2.063378733E1,2.273999977E1,3.161999893E1,-6.011999893E1
2.088485545E1,2.261999893E1,3.173999977E1,-6.000000000E1
2.113598460E1,2.160000038E1,3.167999840E1,-6.023999786E1
2.138708323E1,2.213999939E1,3.252000046E1,-6.107999802E1
2.163839548E1,2.202000046E1,3.150000000E1,-5.987999725E1
2.188964671E1,2.153999901E1,3.215999985E1,-5.903999710E1
2.214074534E1,2.081999969E1,3.185999870E1,-6.053999710E1
2.239193552E1,2.123999977E1,3.185999870E1,-5.993999863E1
2.264315623E1,2.118000031E1,3.185999870E1,-5.993999863E1
2.289446848E1,2.184000015E1,3.167999840E1,-6.035999680E1
2.314562815E1,2.177999878E1,3.204000092E1,-6.005999756E1
2.339669627E1,2.160000038E1,3.234000015E1,-6.005999756E1
2.364773386E1,2.207999992E1,3.239999771E1,-6.005999756E1
2.389880198E1,2.123999977E1,3.192000008E1,-5.927999878E1
2.415020579E1,2.123999977E1,3.155999947E1,-6.005999756E1
2.440145701E1,2.219999886E1,3.185999870E1,-5.987999725E1
2.465276926E1,2.250000000E1,3.209999847E1,-6.011999893E1
2.490386790E1,2.111999893E1,3.204000092E1,-6.005999756E1
2.515521067E1,2.160000038E1,3.173999977E1,-6.095999908E1
