"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,2.566344833E1,1.632366753E1,6.442796707E0
2.500610350E-1,4.718971729E0,1.103726959E1,4.156333923E0
5.001525880E-1,4.505887508E0,-1.989581585E0,-7.972691655E-1
7.502441410E-1,2.668098450E1,1.218648624E1,1.338358760E0
1.001739502E0,-4.429273129E0,6.268020153E0,1.355118155E0
1.253082275E0,9.287108421E0,1.819593310E-1,-9.624691010E-1
1.504364014E0,1.078348446E1,3.945644379E0,-3.543418646E-1
1.755004883E0,-4.189853191E0,8.702922821E0,3.591302633E-1
2.006225586E0,1.222000504E1,4.623203278E0,3.543418407E0
2.257385254E0,8.631096840E0,-1.620874524E0,-2.310404539E0
2.508483887E0,-3.490746021E0,8.698134422E0,3.758896589E-1
2.760162354E0,1.331655025E1,6.512228489E0,1.537077546E0
3.011413574E0,1.075475407E1,-2.250549555E0,-2.667140722E0
3.262847900E0,-1.046266198E0,7.800309181E0,2.403778553E0
3.513946533E0,1.858618736E1,1.235168648E1,7.254431248E-1
3.764923096E0,8.851364136E0,-2.952050686E0,-4.448426723E0
4.016113281E0,6.560112834E-1,7.077260017E0,2.726995707E0
4.267486572E0,2.088462067E1,1.919910431E1,2.418143749E0
4.518707275E0,4.697423935E0,-6.624756336E0,-5.509057999E0
4.770050049E0,9.241618514E-1,8.729259491E0,3.543418407E0
5.021209717E0,1.424071217E1,1.646731949E1,4.000710964E0
5.272030261E0,2.822763920E0,-5.329493046E0,-3.586514235E0
5.523311999E0,3.627215624E0,1.007001209E1,1.714248419E0
5.774654773E0,1.894531822E1,2.455732727E1,1.180580902E1
6.026150134E0,8.020575643E-1,-8.480262756E0,-3.694253206E0
6.277645495E0,2.609679937E0,1.154244614E1,1.656787634E0
6.528988269E0,1.103248119E1,1.802594376E1,7.228095055E0
6.780270007E0,1.731007814E0,-7.869740963E0,-3.497928619E0
7.031673816E0,6.275202751E0,1.336922264E1,-3.567360640E-1
7.283169177E0,1.524388218E1,1.983596039E1,6.921637058E0
7.534328845E0,1.580173135E0,-6.584054470E0,-2.094926596E0
7.785610583E0,1.331894398E1,1.467645645E1,4.867412090E0
8.036587146E0,9.476250648E0,1.318486881E1,7.366958618E0
8.287960437E0,2.212242365E0,-5.233725071E0,-1.675941199E-1
8.538814929E0,1.477940750E1,1.714727211E1,-3.679888010E0
8.790005115E0,5.949591160E0,1.382890892E1,7.570465565E0
9.041256335E0,2.238578558E0,-5.152322292E0,-2.219424963E0
9.292568591E0,1.760456467E1,1.808101082E1,8.243236542E0
9.543392566E0,5.202600479E0,1.232774448E1,5.260061264E0
9.794582751E0,2.296039343E0,-4.465186119E0,-1.728613615E0
1.004571190E1,2.051591492E1,1.939782143E1,5.908889771E0
1.029717674E1,3.232172251E0,1.206438255E1,5.901707172E0
1.054870262E1,2.425326347E0,-4.218583584E0,4.070143029E-2
1.079998436E1,2.367625999E1,1.381454372E1,2.983175278E0
1.105141869E1,-4.908113480E-1,9.526528358E0,3.014299870E0
1.130270043E1,5.035006046E0,-3.043030262E0,-3.615244627E-1
1.155382958E1,1.273715305E1,6.488286495E0,3.055001259E0
1.180547753E1,-5.671864033E0,6.871358871E0,9.457096457E-1
1.205636254E1,1.195424938E1,5.324704647E0,7.223306656E0
1.230764428E1,1.137485218E1,2.106897593E0,-3.040636182E-1
1.255889550E1,-5.872976780E0,5.731719017E0,-9.145850539E-1
1.281002465E1,1.134612179E1,7.666234016E0,5.363011837E0
1.306142845E1,1.174595356E1,-7.541735172E-1,-8.667010069E-1
1.331255760E1,-8.619125932E-2,7.220912457E0,2.193088770E0
1.356402245E1,7.580042362E0,5.951985359E0,3.610456228E0
1.381521263E1,1.479856110E1,-2.829946518E0,-1.831564307E0
1.406673851E1,2.580949545E0,1.165497398E1,1.233013868E0
1.431737938E1,1.442506504E1,9.208099365E0,-2.154781520E-1
1.456872216E1,6.806715488E0,-5.401319027E0,-4.177882195E0
1.482061425E1,2.035071373E0,1.222479343E1,2.758120298E0
1.507214012E1,1.602439117E1,1.051772785E1,7.781155586E0
1.532354393E1,1.357512355E0,-6.215347767E0,-1.601720929E0
1.557494774E1,5.169081688E0,1.031182671E1,2.964021683E0
1.582616844E1,1.845211220E1,2.094687080E1,1.395101357E1
1.607748070E1,1.039083481E0,-7.953537941E0,-4.508281708E0
1.632897606E1,7.273584843E0,1.210508347E1,-7.829039693E-1
1.658047142E1,8.798690796E0,1.572990513E1,5.640739441E0
1.683181420E1,3.280056238E0,-5.463568211E0,-6.488286853E-1
1.708303490E1,1.737472153E1,2.251986122E1,6.138733387E0
1.733440819E1,7.752425194E0,1.591186428E1,8.212111473E0
1.758572045E1,6.232107162E0,-2.755726099E0,6.560112834E-1
1.783724633E1,1.642901230E1,1.910573006E1,9.624691010E0
1.808861962E1,7.733271599E0,1.342189503E1,9.275136948E0
1.834026757E1,5.861005783E0,-4.084507942E0,3.232172430E-1
1.859142723E1,1.866998482E1,1.890940475E1,9.706093788E0
1.884228173E1,8.913613319E0,1.625902367E1,9.801861763E0
1.909341088E1,6.296750546E0,-1.331176162E0,7.038952708E-1
1.934441796E1,2.406651497E1,1.504995155E1,9.892841339E0
1.959591332E1,3.050212860E0,1.114022064E1,4.771644115E0
1.984737816E1,4.548983097E0,-9.481038451E-1,3.227383852E0
2.009859886E1,2.267069626E1,1.176989555E1,3.344699860E0
2.034966698E1,-2.398990154E0,1.008677197E1,2.128445387E0
2.060073510E1,5.279214859E0,-3.327940404E-1,5.070919037E0
2.085171166E1,9.586383820E0,5.298368454E0,-1.733402014E0
2.110277977E1,-3.857059002E0,7.857769966E0,-7.278373241E-1
2.135384789E1,9.753977776E0,6.749254704E0,4.781220913E0
2.160531273E1,9.880870819E0,1.165976286E0,-1.699883223E0
2.185641136E1,1.055842996E0,9.449913979E0,-1.007958889E0
2.210747948E1,7.941566944E0,1.023042393E1,2.959233284E0
2.235815087E1,1.053448772E1,-2.178723574E0,-4.584896088E0
2.260928002E1,1.357512355E0,8.458714485E0,4.929661274E0
2.286037865E1,7.371747017E0,1.310585976E1,5.968744755E0
2.311132470E1,3.890577793E0,-6.598419666E0,-4.886565685E0
2.336184349E1,3.933673382E0,1.081221485E1,8.355764151E-1
2.361306420E1,1.586398029E1,1.791581154E1,1.318247414E1
2.386391869E1,3.507505417E0,-5.638344765E0,-2.961627483E0
2.411501732E1,6.002263546E0,1.253125191E1,-1.070208192E0
2.436654320E1,1.139400578E1,1.434845066E1,1.612734222E1
2.461791649E1,2.657563925E0,-1.845929503E0,-2.149993181E0
2.486907616E1,3.514688015E0,1.488714600E1,1.446097851E0
2.512005272E1,1.745373011E0,1.429577827E1,9.021351814E0
2.537139550E1,3.639186621E0,-4.728548527E0,-1.757344007E0
2.562252465E1,1.395340729E1,1.656308746E1,1.841141105E0
2.587325707E1,9.045293808E0,1.397495556E1,5.305551052E0
2.612450829E1,3.881000996E0,-3.744531393E0,-4.405331016E-1
