"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.379394500E-2,-1.829591751E0,-5.326322317E-1,1.137702465E0
2.638854980E-1,4.016047120E-1,1.346494317E0,-1.695901036E0
5.140075680E-1,1.955292940E0,-9.747169912E-2,6.428871155E-1
7.641296390E-1,-2.364886999E0,-2.640257835E0,2.230663776E0
1.015502930E0,6.391586736E-3,2.332929224E-1,-6.727145314E-1
1.266906738E0,2.957706690E0,3.158509135E-1,1.842907518E-1
1.518035889E0,-3.068494320E0,-1.941444516E0,2.209358454E0
1.768676758E0,5.219795927E-2,1.129180342E-1,-5.720469952E-1
2.019958496E0,2.600843191E0,1.616006136E0,-8.628641963E-1
2.271179199E0,-3.753991842E0,3.888215125E-1,2.043177128E0
2.522155762E0,-3.994741738E-1,-1.289502621E0,-3.163835406E-1
2.773895264E0,2.631203175E0,1.299090028E0,-1.088167667E0
3.025085449E0,-3.750263453E0,6.114618182E-1,1.671932578E0
3.276458740E0,1.475391239E-1,-1.033306479E0,-9.283779860E-1
3.527770996E0,1.736913681E0,2.207760572E0,-2.302569151E0
3.778747559E0,-2.034655094E0,-2.290318608E-1,1.200553060E0
4.029876709E0,-3.131877482E-1,-6.945524216E-1,5.289037824E-1
4.281158447E0,2.533731461E0,1.384843737E-1,-2.229065895E0
4.532409668E0,-2.287122726E0,5.177185535E-1,3.062635362E-1
4.783813477E0,-4.005394280E-1,-1.413073301E0,2.711097896E-1
5.034820557E0,1.583515644E0,8.665926456E-1,-2.347842932E0
5.285824206E0,-1.033306479E0,4.490089715E-1,7.925567627E-1
5.537075427E0,-1.002413869E0,-2.253566980E0,8.426241875E-1
5.788387683E0,3.828027725E0,8.468852639E-1,-3.708718300E0
6.039944079E0,-1.167529821E0,9.369000793E-1,1.026914954E0
6.291439441E0,-5.470132828E-1,-2.324407101E0,1.831722260E0
6.542751697E0,1.785383224E0,7.430219650E-1,-3.124953270E0
6.794002917E0,-4.245078862E-1,1.352353215E0,1.255414128E0
7.045528796E0,-1.389637470E0,-2.689792633E0,1.274588943E0
7.296871570E0,2.591255903E0,1.003479123E0,-2.977946758E0
7.548061755E0,2.482066154E-1,2.146507949E-1,7.829693556E-1
7.799404529E0,-1.975000262E0,-1.192030907E0,9.219864011E-1
8.050289538E0,2.564624071E0,1.712945223E0,-2.263154268E0
8.301662829E0,-1.081243455E-1,1.437041759E0,-7.488809228E-1
8.552517322E0,-2.504436731E0,-9.981527925E-1,8.261125684E-1
8.803829577E0,7.696535587E-1,2.572613716E0,-2.578472614E0
9.055080798E0,4.048005044E-1,8.586031795E-1,2.561961114E-1
9.306332019E0,-1.294828892E0,-3.882888854E-1,9.384979606E-1
9.557064441E0,1.165399313E0,1.859951735E0,-2.561960936E0
9.808376697E0,1.129180312E0,-5.326322280E-3,-2.055960447E-1
1.005953637E1,-1.755023241E0,-2.956108749E-1,2.036252975E0
1.031090966E1,2.836799145E0,1.174454093E0,-1.961684465E0
1.056234398E1,1.363005877E0,9.603359103E-1,3.675162494E-1
1.081380883E1,-3.479153633E0,4.660531878E-1,1.428519607E0
1.106524315E1,1.169127703E0,1.098287702E0,-1.391767979E0
1.131652489E1,1.244228840E0,5.214469433E-1,2.508697808E-1
1.156759300E1,-9.843043685E-1,-1.253816247E0,1.390170097E0
1.181921044E1,4.596616030E-1,2.748382390E-1,-2.865561247E-1
1.207012596E1,1.841842294E0,9.299758673E-1,-3.030677438E-1
1.232137719E1,-2.065015078E0,-2.657834888E-1,1.374723792E0
1.257265892E1,-9.161274135E-2,-5.699164867E-1,1.651159972E-1
1.282378807E1,2.192314148E0,6.332997084E-1,-5.725796223E-1
1.307510033E1,-2.412823915E0,1.323058486E0,3.051982522E-1
1.332635155E1,-5.390238166E-1,-1.015197039E0,7.467503548E-1
1.357778588E1,3.114833355E0,1.422128081E0,-1.310807943E0
1.382891503E1,-2.893790960E0,1.486043930E-1,6.237123609E-1
1.408047142E1,-1.906823367E-1,-1.774730563E0,-1.139832959E-1
1.433099022E1,6.061354876E-1,1.903095007E0,-2.019208670E0
1.458251610E1,-9.614011645E-1,-7.297061682E-1,8.064051867E-1
1.483443871E1,-3.259709179E-1,-1.296959519E0,6.695187092E-1
1.508596459E1,3.152650118E0,1.190433025E0,-2.933738232E0
1.533727684E1,-1.129712939E0,1.451955438E0,9.155948162E-1
1.558871117E1,-1.122256160E0,-2.380866051E0,8.815063238E-1
1.583990136E1,2.958239317E0,1.364603758E0,-3.141464949E0
1.609130516E1,-9.885654449E-1,7.025418878E-1,6.402239203E-1
1.634273949E1,-1.899366498E0,-2.800047636E0,1.305481553E0
1.659417382E1,1.443965912E0,2.135322571E0,-3.369431496E0
1.684557762E1,-2.609897852E-1,7.637946010E-1,-3.728425503E-2
1.709682884E1,-1.547829270E0,-9.092032313E-1,-2.556634694E-2
1.734804955E1,1.197889924E0,3.831756353E0,-3.487675905E0
1.759945336E1,1.427454352E0,6.769755483E-1,3.925499618E-1
1.785100975E1,-1.456216455E0,-1.342233181E0,1.744370580E0
1.810235253E1,1.127582431E0,4.006992340E0,-2.307362795E0
1.835400048E1,1.730522156E0,2.988066673E-1,3.834952042E-2
1.860516014E1,-2.073537350E0,-9.065400362E-1,1.545166135E0
1.885607567E1,6.546050310E-1,1.596831441E0,-2.157160521E0
1.910723534E1,1.443965912E0,3.051982522E-1,5.161206126E-1
1.935805931E1,-2.809102297E0,-1.539307088E-1,9.805759192E-1
1.960964623E1,2.796319127E-1,5.219795704E-1,-1.092961311E0
1.986117211E1,1.866343379E0,7.542072535E-1,9.150621891E-1
2.011239281E1,-3.412042141E0,-1.568069220E0,9.390306473E-1
2.036343041E1,-3.446130455E-1,3.195793331E-1,-1.842907518E-1
2.061449852E1,2.671683311E0,7.829693556E-1,1.001348615E0
2.086553612E1,-3.022155285E0,-7.366303802E-1,1.152083516E0
2.111660424E1,-6.274407506E-1,-9.198558331E-1,1.331580579E-1
2.136758080E1,1.592570305E0,2.146507949E-1,2.141181529E-1
2.161898461E1,-1.432780743E0,3.744404614E-1,6.162554622E-1
2.187011376E1,-4.415521026E-1,-1.427986979E0,-5.699164793E-2
2.212118187E1,9.342369437E-1,1.458879709E0,-7.329019308E-1
2.237182274E1,-2.542786360E0,-3.968110085E-1,2.902845740E-1
2.262301293E1,-3.936152160E-1,-1.828526497E0,5.331648588E-1
2.287420311E1,1.503620744E0,2.161954165E0,-1.859951735E0
2.312499657E1,-1.262338400E0,-1.789644361E-1,1.061003447E0
2.337563744E1,-1.006674886E0,-2.397377729E0,9.342369437E-1
2.362679711E1,2.645051718E0,1.905225515E0,-2.550243139E0
2.387765160E1,-1.020523310E0,5.560680628E-1,2.716424465E-1
2.412884179E1,-1.662345171E0,-2.968359470E0,1.558481932E0
2.438033715E1,3.795537233E0,1.680987358E0,-2.635996819E0
2.463167992E1,-6.908239722E-1,1.241033077E0,1.699096859E-1
2.488280907E1,-1.201618314E0,-2.140648842E0,9.086706042E-1
