"Time (s)","Illuminance (lx)"
1.385498100E-2,2.910000000E3
2.658996580E-1,2.431000000E3
5.179443360E-1,2.933000000E3
1.276794434E0,6.570000000E2
1.610015869E0,2.495000000E3
1.963073731E0,2.324000000E3
2.277099609E0,2.371000000E3
2.610778809E0,2.377000000E3
2.944824219E0,2.429000000E3
3.670806885E0,2.426000000E3
3.965057373E0,2.351000000E3
4.259643555E0,2.356000000E3
4.554138184E0,2.613000000E3
4.848663330E0,2.813000000E3
5.142883301E0,2.803000000E3
5.436916736E0,2.338000000E3
5.759060290E0,1.953000000E3
6.053829577E0,1.364000000E3
6.348598865E0,1.439000000E3
6.643032458E0,1.308000000E3
7.134060290E0,1.353000000E3
7.526607898E0,1.334000000E3
7.821041492E0,1.168000000E3
8.115139392E0,1.098000000E3
8.409511951E0,1.068000000E3
8.703579333E0,1.036000000E3
8.998165515E0,1.024000000E3
9.390560535E0,1.045000000E3
9.782955554E0,1.049000000E3
1.017541161E1,1.065000000E3
1.056835594E1,1.044000000E3
1.098482933E1,9.980000000E2
1.128332176E1,1.005000000E3
1.180163231E1,9.590000000E2
1.209582176E1,1.104000000E3
1.239022484E1,1.308000000E3
1.268471947E1,1.532000000E3
1.297906151E1,1.550000000E3
1.327334252E1,1.568000000E3
1.366637841E1,1.555000000E3
1.415688744E1,1.497000000E3
1.445101586E1,1.549000000E3
1.477343407E1,1.551000000E3
1.509588280E1,1.298000000E3
1.539037743E1,1.535000000E3
1.568474999E1,1.645000000E3
1.597942772E1,1.565000000E3
1.647030297E1,1.486000000E3
1.686330834E1,1.403000000E3
1.725600853E1,1.253000000E3
1.755047264E1,1.231000000E3
1.784521141E1,1.293000000E3
1.823827782E1,1.349000000E3
1.853265038E1,1.391000000E3
1.881112328E1,1.394000000E3
1.907781639E1,6.260000000E2
1.937188378E1,1.218000000E3
1.969430199E1,1.108000000E3
1.998888817E1,8.450000000E2
2.028301659E1,9.450000000E2
2.060476342E1,1.024000000E3
2.089895287E1,1.133000000E3
2.119314232E1,1.365000000E3
2.149517479E1,1.310000000E3
2.179363671E1,2.960000000E2
2.208797875E1,1.322000000E3
2.238177147E1,1.363000000E3
2.267596093E1,1.419000000E3
2.306838646E1,1.456000000E3
2.346023216E1,1.478000000E3
2.375429955E1,1.493000000E3
2.404824486E1,1.556000000E3
2.429983178E1,9.390000000E2
2.462191429E1,1.950000000E3
2.491628685E1,2.132000000E3
2.516720238E1,1.126000000E3
2.548907128E1,8.910000000E2
2.578335228E1,1.562000000E3
2.607751122E1,1.484000000E3
2.646990624E1,1.425000000E3
2.686245384E1,1.425000000E3
2.735308495E1,1.413000000E3
2.764721337E1,1.450000000E3
2.794167748E1,1.489000000E3
2.823623314E1,1.595000000E3
2.853066674E1,1.685000000E3
2.885674706E1,1.306000000E3
2.917446556E1,1.745000000E3
2.946883812E1,1.686000000E3
2.976302758E1,1.702000000E3
3.005733910E1,1.689000000E3
3.044952050E1,1.738000000E3
3.074383202E1,1.810000000E3
3.103826561E1,1.827000000E3
3.133254662E1,1.842000000E3
3.162701073E1,1.825000000E3
3.191344872E1,9.630000000E2
3.217223778E1,7.470000000E2
3.246648827E1,1.204000000E3
3.276015448E1,1.215000000E3
3.315261054E1,1.287000000E3
3.344673896E1,1.420000000E3
3.374083686E1,1.758000000E3
3.403542304E1,1.842000000E3
3.442772650E1,1.947000000E3
3.491811347E1,2.041000000E3
3.531011176E1,2.042000000E3
3.570235419E1,2.021000000E3
3.611806464E1,1.859000000E3
3.644365668E1,7.540000000E2
3.673796820E1,1.479000000E3
3.722850775E1,1.400000000E3
3.771868109E1,1.410000000E3
3.801305365E1,1.507000000E3
3.830709052E1,1.577000000E3
3.860149359E1,1.648000000E3
3.885298896E1,6.480000000E2
3.914726996E1,9.660000000E2
3.944130683E1,1.487000000E3
3.973558783E1,1.476000000E3
4.009212470E1,1.373000000E3
4.035106635E1,1.349000000E3
4.067275214E1,1.144000000E3
4.095140814E1,9.190000000E2
4.121810126E1,5.720000000E2
4.151235175E1,1.193000000E3
4.180672431E1,1.313000000E3
4.210103583E1,1.290000000E3
4.259133124E1,1.160000000E3
4.288530707E1,1.232000000E3
4.317919135E1,1.354000000E3
4.347365546E1,1.622000000E3
4.376720404E1,1.628000000E3
4.415981269E1,1.650000000E3
4.455196356E1,1.661000000E3
4.494441962E1,1.621000000E3
4.523888373E1,1.723000000E3
4.553304267E1,1.794000000E3
4.585454535E1,1.932000000E3
4.614894843E1,1.926000000E3
4.644338202E1,1.924000000E3
4.676518988E1,1.903000000E3
4.705953192E1,1.987000000E3
4.735387397E1,2.254000000E3
4.774629950E1,2.245000000E3
4.804048896E1,1.874000000E3
4.833476996E1,1.727000000E3
4.865663886E1,1.669000000E3
4.897832465E1,1.086000000E3
4.927248358E1,2.230000000E3
4.956673407E1,2.334000000E3
4.996703314E1,2.473000000E3
5.042232489E1,1.795000000E3
5.070122504E1,2.502000000E3
5.102275824E1,2.276000000E3
5.134450507E1,2.542000000E3
5.166612982E1,1.167000000E3
5.200365424E1,1.795000000E3
5.228218817E1,2.493000000E3
5.257671332E1,1.770000000E3
5.287084174E1,2.078000000E3
