"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.345703100E-2,-5.879999638E0,4.055999756E1,-7.980000019E0
2.953796390E-1,-5.339999676E0,3.911999893E1,-6.899999619E0
5.475769040E-1,-2.399999857E0,3.005999947E1,-5.339999676E0
7.996521000E-1,-5.639999866E0,4.121999741E1,-9.059999466E0
1.050933838E0,-4.679999828E0,4.271999741E1,-4.259999752E0
1.302337647E0,-1.079999924E0,2.885999870E1,-8.519999504E0
1.553344727E0,-4.859999657E0,3.761999893E1,-1.253999996E1
1.804046631E0,-4.019999981E0,4.487999725E1,-1.019999981E0
2.055389404E0,4.199999869E-1,2.393999863E1,-8.880000114E0
2.306579590E0,-3.119999886E0,3.143999863E1,-1.493999958E1
2.557769775E0,-4.559999943E0,4.254000092E1,1.439999938E0
2.809295654E0,1.740000010E0,2.393999863E1,-3.000000000E0
3.060577393E0,-3.899999857E0,3.167999840E1,-9.359999657E0
3.311950684E0,-3.899999857E0,4.055999756E1,1.319999933E0
3.562988281E0,1.199999973E-1,2.411999893E1,-2.159999847E0
3.814178467E0,-1.799999952E0,2.597999954E1,-9.119999886E0
4.065277100E0,-6.659999847E0,4.218000031E1,-5.879999638E0
4.316589356E0,-3.000000000E0,2.627999878E1,-6.839999676E0
4.567871094E0,-2.939999819E0,2.334000015E1,-8.099999428E0
4.819244385E0,-9.239999771E0,3.761999893E1,-8.819999695E0
5.070220947E0,-2.220000029E0,2.027999878E1,-1.067999935E1
5.321133044E0,-3.779999971E0,2.381999969E1,-9.960000038E0
5.572536853E0,-8.760000229E0,3.852000046E1,-5.039999962E0
5.823818591E0,-2.460000038E0,2.273999977E1,-4.500000000E0
6.075436023E0,-2.579999924E0,2.213999939E1,-6.420000076E0
6.326961902E0,-9.479999542E0,4.187999725E1,-3.659999847E0
6.578243640E0,-4.319999695E0,2.609999847E1,-1.500000000E0
6.829281238E0,-3.959999800E0,2.160000038E1,-1.193999958E1
7.080868152E0,-9.840000153E0,3.977999878E1,-9.420000076E0
7.332210925E0,-5.759999752E0,2.645999908E1,-1.080000019E1
7.583462146E0,-5.339999676E0,2.771999931E1,-7.619999886E0
7.834774402E0,-9.179999352E0,4.589999771E1,-9.599999428E0
8.085598376E0,-6.659999847E0,3.204000092E1,-1.553999996E1
8.336971667E0,-4.500000000E0,2.976000023E1,-9.719999313E0
8.587978747E0,-7.319999695E0,4.463999939E1,-1.571999931E1
8.839107898E0,-3.480000019E0,3.023999977E1,-1.434000015E1
9.090359119E0,-1.679999948E0,2.405999947E1,-1.001999950E1
