"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.343444830E-1,9.576806426E-2,3.201047659E0,9.284713745E0
4.847412110E-1,3.160346150E-1,3.385401249E0,9.011775017E0
7.352905280E-1,1.675941199E-1,3.031059265E0,9.095572472E0
9.860229490E-1,4.022258818E-1,3.143586874E0,8.995016098E0
1.236511231E0,1.436520964E-1,3.031059265E0,9.014169693E0
1.487060547E0,2.322375625E-1,3.201047659E0,9.311050415E0
1.737670899E0,2.825157940E-1,3.105279684E0,9.181763649E0
1.988250733E0,1.867477298E-1,3.086126089E0,9.112331390E0
2.238677979E0,4.932055473E-1,3.160346270E0,9.193734169E0
2.489257813E0,2.011129409E-1,2.918531895E0,9.138668060E0
2.739685059E0,4.213795066E-1,3.165134668E0,8.966285706E0
2.990234375E0,4.860229492E-1,3.191470861E0,9.344569206E0
3.240753174E0,2.968810201E-1,2.944868088E0,8.983044624E0
3.491455078E0,3.256114423E-1,2.882618904E0,8.983044624E0
3.741943360E0,4.429273009E-1,3.059789658E0,8.784325600E0
3.992645264E0,5.674257874E-1,3.131615877E0,9.133879662E0
4.242980957E0,2.873041928E-1,3.028665066E0,9.287108421E0
4.493316651E0,3.711012602E-1,3.160346270E0,9.050082207E0
4.743774414E0,4.285621047E-1,3.074155092E0,9.172186852E0
4.994384766E0,4.381389022E-1,3.059789658E0,9.076418877E0
5.244964600E0,4.309563041E-1,3.007117271E0,9.416395187E0
5.495391846E0,3.950432837E-1,2.980781078E0,9.062053680E0
5.745758057E0,4.788403511E-1,3.023876667E0,9.054870605E0
5.996429444E0,6.631938815E-1,3.023876667E0,8.978256226E0
6.246887207E0,3.974374831E-1,2.908955097E0,9.454702377E0
6.497344971E0,4.046200812E-1,2.837129116E0,9.378087997E0
6.747924805E0,4.572925270E-1,2.875436306E0,9.047688484E0
6.998413086E0,4.764461517E-1,2.873042107E0,9.323021889E0
7.248962403E0,5.291185975E-1,2.954444885E0,9.138668060E0
7.499694824E0,4.501099288E-1,2.949656487E0,9.263166428E0
7.750183106E0,5.219359994E-1,2.975992680E0,9.081207275E0
8.000671387E0,6.344634295E-1,2.999934673E0,8.947132111E0
8.251037598E0,5.554547906E-1,2.995146275E0,9.090784073E0
8.501495362E0,4.501099288E-1,2.918531895E0,9.097966194E0
8.752075196E0,5.075707436E-1,2.877830505E0,9.330204010E0
9.002716065E0,5.027823448E-1,2.880224705E0,9.162610054E0
9.253173828E0,4.596867263E-1,2.887407303E0,9.035717010E0
9.503631592E0,6.392518282E-1,2.930502892E0,9.437943459E0
9.754150391E0,5.841852427E-1,2.837129116E0,9.198522568E0
1.000491333E1,5.578489900E-1,2.827552319E0,8.872911453E0
1.025515747E1,4.884171486E-1,2.789244890E0,9.320627213E0
1.050576782E1,6.416460276E-1,2.865859509E0,9.239224434E0
1.075656128E1,5.267243981E-1,2.837129116E0,9.100360870E0
1.100711060E1,5.123591423E-1,2.786850691E0,9.145850182E0
1.125747681E1,5.722141862E-1,2.892195702E0,9.100360870E0
1.150787354E1,5.674257874E-1,2.849100113E0,9.078812599E0
1.175827026E1,4.884171486E-1,2.832340717E0,9.234436035E0
1.200869751E1,5.339069963E-1,2.837129116E0,9.229647636E0
1.225927734E1,5.386953950E-1,2.858676910E0,9.174580574E0
1.250961304E1,5.267243981E-1,2.806004286E0,9.153033257E0
1.276007080E1,5.339069963E-1,2.849100113E0,9.272743225E0
1.301065064E1,4.596867263E-1,2.791639090E0,9.114726067E0
1.326107788E1,5.363011956E-1,2.815581083E0,9.258378029E0
1.351184082E1,5.147533417E-1,2.844311714E0,9.081207275E0
1.376242066E1,4.884171486E-1,2.806004286E0,9.232041359E0
1.401293945E1,5.434837937E-1,2.837129116E0,9.133879662E0
1.426330566E1,5.530605912E-1,2.822763920E0,9.138668060E0
1.451394653E1,4.812345505E-1,2.789244890E0,9.430760384E0
1.476437378E1,5.386953950E-1,2.841917515E0,9.169792175E0
1.501504517E1,5.841852427E-1,2.865859509E0,9.074024200E0
1.526556396E1,4.501099288E-1,2.808398485E0,9.136273384E0
1.551608276E1,4.764461517E-1,2.794033289E0,9.236829758E0
1.576657105E1,5.339069963E-1,2.825158119E0,9.153033257E0
1.601721191E1,5.793967843E-1,2.834734917E0,9.284713745E0
1.626742554E1,6.153098345E-1,2.832340717E0,9.145850182E0
1.651803589E1,4.309563041E-1,2.806004286E0,9.215282440E0
1.676846314E1,5.123591423E-1,2.782062292E0,9.203310966E0
1.701885986E1,4.477157295E-1,2.770091295E0,9.263166428E0
1.726937866E1,6.177040339E-1,2.767697096E0,9.265560150E0
1.752001953E1,4.429273009E-1,2.724601507E0,9.260771751E0
1.777035522E1,5.770025849E-1,2.777273893E0,9.248801231E0
1.802093506E1,5.075707436E-1,2.762908697E0,9.196128845E0
1.827142334E1,5.650315881E-1,2.738966703E0,9.248801231E0
1.852194214E1,5.698199868E-1,2.782062292E0,9.239224434E0
1.877249146E1,4.836287498E-1,2.703053713E0,9.030928612E0
1.902294922E1,6.344634295E-1,2.796427488E0,9.114726067E0
1.927340698E1,5.985504389E-1,2.796427488E0,9.380482674E0
1.952392578E1,5.626373887E-1,2.770091295E0,9.181763649E0
1.977432251E1,5.291185975E-1,2.762908697E0,9.188945770E0
2.002490234E1,5.506663918E-1,2.758120298E0,9.088389397E0
2.027548218E1,6.081272364E-1,2.798821688E0,9.014169693E0
2.052603149E1,5.626373887E-1,2.822763920E0,9.267954826E0
2.077645874E1,5.123591423E-1,2.774879694E0,9.157821655E0
2.102691650E1,5.674257874E-1,2.729389906E0,9.325415611E0
2.127728272E1,6.057330370E-1,2.760514498E0,9.112331390E0
2.152789307E1,6.464344859E-1,2.808398485E0,9.255983353E0
2.177828980E1,5.841852427E-1,2.741360903E0,9.071630478E0
2.202871704E1,5.458779931E-1,2.767697096E0,9.169792175E0
2.227920532E1,6.177040339E-1,2.691082716E0,9.133879662E0
2.252978516E1,5.147533417E-1,2.638410330E0,9.131484985E0
2.278018188E1,4.405331016E-1,2.499546528E0,9.251194954E0
2.303073120E1,4.668693244E-1,2.545036316E0,9.308655739E0
2.328121948E1,3.974374831E-1,2.489969730E0,9.253589630E0
2.353164673E1,3.734954596E-1,2.513911724E0,9.318233490E0
2.378216553E1,3.687070608E-1,2.466027737E0,9.320627213E0
2.403277588E1,4.141969085E-1,2.509123325E0,9.493009567E0
2.428317261E1,5.219359994E-1,2.559401512E0,9.272743225E0
2.453369141E1,4.285621047E-1,2.561795712E0,9.105149269E0
2.478445435E1,5.147533417E-1,2.559401512E0,9.366117477E0
2.503485107E1,5.075707436E-1,2.523488522E0,9.208099365E0
2.528543091E1,4.118026793E-1,2.516305923E0,8.980650902E0
2.553594971E1,6.105214357E-1,2.530671120E0,9.519346237E0
2.578640747E1,6.033388376E-1,2.461239338E0,9.191340446E0
2.603689575E1,3.734954596E-1,2.284068346E0,9.330204010E0
2.628723145E1,4.309563041E-1,2.305616140E0,9.229647636E0
2.653787232E1,4.860229492E-1,2.327163935E0,9.153033257E0
2.678836060E1,3.806780577E-1,2.257732153E0,9.323021889E0
2.703887940E1,3.591302633E-1,2.315192938E0,9.390059471E0
2.728924561E1,3.806780577E-1,2.375048161E0,9.528923035E0
2.753988648E1,4.668693244E-1,2.341529369E0,9.351752281E0
2.779028320E1,4.932055473E-1,2.360682964E0,9.270348549E0
2.804077148E1,3.399766386E-1,2.358288765E0,9.265560150E0
2.829107666E1,5.003881454E-1,2.401384354E0,9.193734169E0
2.854162598E1,4.453215301E-1,2.367865562E0,9.346963882E0
2.879205322E1,2.705447972E-1,2.298433542E0,9.344569206E0
2.904275513E1,4.644751251E-1,2.425326347E0,9.220070839E0
2.929315186E1,4.213795066E-1,2.401384354E0,9.318233490E0
2.954351807E1,3.136404157E-1,2.339135170E0,9.342175484E0
2.979394531E1,4.333505034E-1,2.387019157E0,9.344569206E0
3.004425049E1,3.591302633E-1,2.372653961E0,9.361329079E0
3.029461670E1,4.094084799E-1,2.425326347E0,9.397241592E0
3.054516602E1,3.926490843E-1,2.482787132E0,9.255983353E0
3.079577637E1,4.333505034E-1,2.482787132E0,9.121908188E0
3.104626465E1,3.471592367E-1,2.408566952E0,9.279925346E0
3.129675293E1,3.639186621E-1,2.410961151E0,9.308655739E0
3.154733276E1,3.878606856E-1,2.425326347E0,9.270348549E0
3.179797363E1,3.950432837E-1,2.413355350E0,9.356540680E0
3.204864502E1,4.333505034E-1,2.475604534E0,9.315838814E0
3.229913330E1,4.860229492E-1,2.456450939E0,9.397241592E0
3.254943848E1,4.094084799E-1,2.425326347E0,9.394847870E0
3.279989624E1,3.854664862E-1,2.420537949E0,9.337387085E0
3.305026245E1,4.836287498E-1,2.501940727E0,9.284713745E0
3.330072022E1,4.884171486E-1,2.461239338E0,9.346963882E0
3.355133057E1,4.189853072E-1,2.432508945E0,9.330204010E0
3.380181885E1,4.620809257E-1,2.461239338E0,9.375694275E0
3.405221558E1,5.243301988E-1,2.449268341E0,9.315838814E0
