"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.443237310E-1,-1.012001187E-2,-8.255799860E-2,-3.195793182E-2
4.946899420E-1,-1.864212751E-2,-2.130528912E-2,3.515372798E-2
7.453613280E-1,-2.503371425E-2,1.917476021E-2,2.183792181E-2
9.959411620E-1,-8.096009493E-2,4.740426689E-2,5.326322280E-3
1.246520996E0,1.150485575E-1,1.123853996E-1,-3.675162420E-2
1.497039795E0,1.720402092E-1,-1.065264456E-2,-9.054748341E-3
1.747680664E0,-9.960222989E-2,-4.793690145E-2,6.391586736E-3
1.998199463E0,-3.515372798E-2,-3.195793368E-3,-1.278317347E-2
2.248718262E0,-2.396845073E-2,2.343581803E-2,4.261057824E-3
2.499237061E0,-2.556634694E-2,5.113269389E-2,5.326322466E-2
2.749664307E0,7.350324839E-2,-7.456851192E-3,-7.030745596E-2
3.000152588E0,1.065264456E-3,1.384843793E-2,3.994741663E-2
3.250823975E0,-8.575379103E-2,4.687163606E-2,5.965480953E-2
3.501403809E0,6.391586363E-2,-2.130528912E-3,4.154531285E-2
3.751953125E0,-1.757686399E-2,-3.302319720E-2,-2.982740477E-2
4.002593994E0,1.491370238E-2,2.183792181E-2,-6.391586736E-3
4.252960205E0,1.544633508E-2,2.556634694E-2,1.278317347E-2
4.503295899E0,5.326322280E-3,-3.089267015E-2,-2.183792181E-2
4.753784180E0,-2.343581803E-2,3.408846259E-2,2.503371425E-2
5.004364014E0,-6.551376730E-2,5.273059011E-2,3.994741663E-2
5.254943848E0,1.810949668E-2,3.462109342E-2,2.290318534E-2
5.505371094E0,-1.810949668E-2,-5.858954508E-3,1.225054078E-2
5.755798340E0,-3.888215125E-2,-2.503371425E-2,-2.130528912E-3
6.006378174E0,-1.065264456E-2,5.113269389E-2,2.929477207E-2
6.256866455E0,2.876213938E-2,-7.989482954E-3,2.130528912E-2
6.507293701E0,4.261057824E-3,4.261057824E-3,1.012001187E-2
6.757934571E0,7.989482954E-3,-2.929477207E-2,1.065264456E-3
7.008361817E0,2.130528912E-2,8.522115648E-3,-1.118527725E-2
7.258972168E0,1.278317347E-2,6.924218964E-3,-2.663161140E-3
7.509613037E0,2.183792181E-2,-3.888215125E-2,7.456851192E-3
7.760192871E0,-6.924218964E-3,-2.556634694E-2,1.065264456E-2
8.010620117E0,-2.663161233E-2,-5.858954508E-3,-3.195793368E-3
8.261077881E0,-3.728425503E-2,-1.065264456E-3,4.261057824E-3
8.511444092E0,-1.065264456E-3,3.408846259E-2,-1.065264456E-3
8.762054444E0,1.491370238E-2,-1.118527725E-2,2.024002373E-2
9.012695313E0,-1.864212751E-2,-1.597896684E-3,5.326322280E-3
9.263153076E0,-6.391586736E-3,-3.515372798E-2,-6.391586736E-3
9.513610840E0,2.077265643E-2,-5.858954415E-2,-9.054748341E-3
9.764129639E0,3.142530099E-2,-4.633900523E-2,-1.278317347E-2
1.001486206E1,-4.314320907E-2,3.355583176E-2,1.171790902E-2
1.026513672E1,-1.438106969E-2,3.515372798E-2,-6.924218964E-3
1.051574707E1,1.225054078E-2,-1.757686399E-2,-1.278317347E-2
1.076657105E1,-8.522115648E-3,1.331580617E-2,6.391586736E-3
1.101705933E1,-1.171790902E-2,-2.769687586E-2,-5.326322280E-3
1.126745606E1,-6.924218964E-3,-1.597896684E-3,-1.651159860E-2
1.151779175E1,-3.249056637E-2,2.183792181E-2,1.544633508E-2
1.176828003E1,-2.130528912E-3,2.343581803E-2,-1.065264456E-3
1.201870728E1,-2.343581803E-2,2.024002373E-2,8.522115648E-3
1.226925659E1,-1.917476021E-2,2.716424316E-2,5.326322280E-4
1.251959229E1,-1.065264456E-3,-7.456851192E-3,2.663161140E-3
1.277005005E1,1.810949668E-2,-1.757686399E-2,-7.456851192E-3
1.302059936E1,9.054748341E-3,-2.929477207E-2,2.130528912E-3
1.327108765E1,-1.331580617E-2,2.503371425E-2,1.384843793E-2
1.352178955E1,-1.597896591E-2,-2.450108156E-2,-6.391586736E-3
1.377246094E1,5.326322280E-3,-8.522115648E-3,-5.326322280E-4
1.402285767E1,-1.065264456E-3,-1.970739290E-2,-2.663161140E-3
1.427328491E1,-2.130528912E-2,-2.130528912E-3,1.012001187E-2
1.452392578E1,1.331580617E-2,-8.522115648E-3,-6.924218964E-3
1.477438355E1,2.290318534E-2,-5.858954508E-3,-1.810949668E-2
1.502502441E1,-2.237055451E-2,1.171790902E-2,3.089267015E-2
1.527557373E1,-2.290318534E-2,3.568635881E-2,3.036003746E-2
1.552603149E1,5.326322280E-4,-4.261057824E-3,-1.970739290E-2
1.577664185E1,2.183792181E-2,-1.597896591E-2,4.261057824E-3
1.602713013E1,5.326322280E-3,1.491370238E-2,1.597896684E-3
1.627740478E1,-1.917476021E-2,-5.326322280E-4,9.587380104E-3
1.652798462E1,2.663161233E-2,-3.302319720E-2,-4.793690052E-3
1.677844238E1,-2.982740477E-2,2.237055451E-2,8.522115648E-3
1.702886963E1,9.587380104E-3,5.858954508E-3,1.651159860E-2
1.727935791E1,-1.544633508E-2,3.408846259E-2,1.704423130E-2
1.752993774E1,-2.237055451E-2,3.408846259E-2,1.065264456E-3
1.778033447E1,3.728425596E-3,-8.522115648E-3,-9.054748341E-3
1.803088379E1,1.118527725E-2,-2.077265643E-2,1.438106969E-2
1.828143311E1,8.522115648E-3,2.130528912E-3,1.597896591E-2
1.853189087E1,-7.989482954E-3,2.183792181E-2,8.522115648E-3
1.878250122E1,-5.645901710E-2,4.793690052E-3,2.183792181E-2
1.903289795E1,-6.924218964E-3,-4.793690052E-3,-6.924218964E-3
1.928338623E1,1.331580617E-2,1.864212751E-2,8.522115648E-3
1.953390503E1,-4.261057824E-3,1.438106969E-2,1.331580617E-2
1.978430176E1,-2.130528912E-3,-1.597896684E-3,-2.663161140E-3
2.003482056E1,-3.195793368E-3,-1.118527725E-2,4.261057824E-3
2.028549194E1,-7.456851192E-3,5.326322280E-3,2.663161140E-3
2.053598023E1,1.757686399E-2,3.195793368E-3,4.793690052E-3
2.078646851E1,-1.651159860E-2,1.597896591E-2,7.456851192E-3
2.103686524E1,-1.331580617E-2,5.326322280E-3,-4.793690052E-3
2.128729248E1,-2.609897964E-2,1.065264456E-3,-1.065264456E-2
2.153781128E1,8.522115648E-3,-6.391586736E-3,-2.130528912E-3
2.178826904E1,-1.384843793E-2,-2.663161140E-3,1.278317347E-2
2.203869629E1,2.769687586E-2,-3.195793182E-2,0.000000000E0
2.228918457E1,-3.089267015E-2,3.355583176E-2,5.326322280E-3
