"Time (s)","Illuminance (lx)"
0.000000000E0,5.600000000E1
4.974365240E-1,5.700000000E1
7.950744630E-1,5.900000000E1
1.094146729E0,5.800000000E1
1.789581299E0,5.800000000E1
2.187133789E0,6.000000000E1
2.486022949E0,5.900000000E1
2.783569336E0,5.800000000E1
3.480285645E0,5.800000000E1
3.777862549E0,6.000000000E1
4.076873780E0,5.900000000E1
4.474212647E0,5.700000000E1
4.970581055E0,5.800000000E1
5.667114258E0,5.900000000E1
6.064758301E0,5.600000000E1
6.462341309E0,5.700000000E1
6.760009766E0,5.900000000E1
7.257720947E0,5.800000000E1
7.555480957E0,5.600000000E1
8.151733399E0,5.700000000E1
8.848205567E0,5.900000000E1
9.643493653E0,5.800000000E1
1.043893433E1,5.800000000E1
1.073675537E1,5.500000000E1
1.103570557E1,5.600000000E1
1.133306885E1,5.900000000E1
1.183056641E1,5.900000000E1
1.212823486E1,5.700000000E1
1.272436524E1,5.800000000E1
1.342098999E1,5.900000000E1
1.371884155E1,5.600000000E1
1.431515503E1,5.700000000E1
1.501184082E1,5.700000000E1
1.570700073E1,5.600000000E1
1.600604248E1,5.900000000E1
1.660226440E1,5.800000000E1
1.729736328E1,5.800000000E1
1.789376831E1,5.900000000E1
1.859030151E1,5.900000000E1
1.938552856E1,6.000000000E1
1.978305054E1,5.800000000E1
2.027960205E1,5.900000000E1
2.107482910E1,6.000000000E1
2.177111816E1,5.900000000E1
2.246621704E1,6.000000000E1
2.316265869E1,5.900000000E1
2.346023560E1,6.100000000E1
2.405670166E1,6.000000000E1
2.485214233E1,6.000000000E1
2.515097046E1,6.100000000E1
2.554864502E1,6.000000000E1
2.584616089E1,5.800000000E1
2.634365845E1,5.900000000E1
2.674139404E1,6.100000000E1
2.723767090E1,6.000000000E1
2.753668213E1,5.700000000E1
2.793420410E1,5.800000000E1
2.823159790E1,6.100000000E1
2.872927856E1,6.100000000E1
2.952438355E1,6.000000000E1
2.982183838E1,6.200000000E1
