"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.741394050E-1,2.231999969E1,2.171999931E1,-4.163999939E1
5.285949710E-1,2.100000000E1,2.045999908E1,-4.200000000E1
7.830505370E-1,2.202000046E1,2.160000038E1,-4.115999985E1
1.037750244E0,2.195999908E1,2.123999977E1,-4.271999741E1
1.292297363E0,2.177999878E1,2.171999931E1,-4.205999756E1
1.546844483E0,2.129999924E1,2.076000023E1,-4.229999924E1
1.801422119E0,2.123999977E1,2.153999901E1,-4.205999756E1
2.055877686E0,2.213999939E1,2.213999939E1,-4.152000046E1
2.310333252E0,2.063999939E1,2.184000015E1,-4.109999847E1
2.564758301E0,2.165999985E1,2.118000031E1,-4.236000061E1
2.819366455E0,2.123999977E1,2.129999924E1,-4.229999924E1
3.073760987E0,2.147999954E1,2.160000038E1,-4.211999893E1
3.328399658E0,2.063999939E1,2.165999985E1,-4.181999969E1
3.582916260E0,2.105999947E1,2.165999985E1,-4.181999969E1
3.837554932E0,2.153999901E1,2.129999924E1,-4.145999908E1
4.092071533E0,2.039999962E1,2.202000046E1,-4.254000092E1
4.346405030E0,2.160000038E1,2.177999878E1,-4.247999954E1
4.600677490E0,2.142000008E1,2.142000008E1,-4.145999908E1
4.855224610E0,2.076000023E1,2.160000038E1,-4.205999756E1
5.109771729E0,2.039999962E1,2.147999954E1,-4.229999924E1
5.364227295E0,2.039999962E1,2.184000015E1,-4.218000031E1
5.618743897E0,2.087999916E1,2.189999962E1,-4.211999893E1
5.873138428E0,2.129999924E1,2.207999992E1,-4.181999969E1
6.127624512E0,2.093999863E1,2.160000038E1,-4.157999802E1
6.382232666E0,1.973999977E1,2.219999886E1,-4.289999771E1
6.636596680E0,2.015999985E1,2.243999863E1,-4.223999786E1
6.891052246E0,2.045999908E1,2.207999992E1,-4.331999969E1
7.145629883E0,2.052000046E1,2.171999931E1,-4.265999985E1
7.400238037E0,2.052000046E1,2.177999878E1,-4.211999893E1
7.654937744E0,2.039999962E1,2.207999992E1,-4.236000061E1
7.909301758E0,2.021999931E1,2.135999870E1,-4.247999954E1
8.163604737E0,2.010000038E1,2.177999878E1,-4.265999985E1
8.418090821E0,1.961999893E1,2.231999969E1,-4.211999893E1
8.672637940E0,2.045999908E1,2.285999870E1,-4.218000031E1
8.927062988E0,2.081999969E1,2.123999977E1,-4.218000031E1
9.181671143E0,1.992000008E1,2.202000046E1,-4.200000000E1
9.436126709E0,1.985999870E1,2.237999916E1,-4.218000031E1
9.690582276E0,2.039999962E1,2.268000031E1,-4.229999924E1
9.945281983E0,1.992000008E1,2.207999992E1,-4.157999802E1
1.019961548E1,1.979999924E1,2.153999901E1,-4.187999725E1
1.045416260E1,2.039999962E1,2.255999947E1,-4.271999741E1
1.070886230E1,1.973999977E1,2.255999947E1,-4.295999908E1
1.096340942E1,2.057999992E1,2.250000000E1,-4.223999786E1
1.121780396E1,2.100000000E1,2.165999985E1,-4.236000061E1
1.147210693E1,1.979999924E1,2.297999954E1,-4.211999893E1
1.172653198E1,2.034000015E1,2.273999977E1,-4.325999832E1
1.198092651E1,1.979999924E1,2.261999893E1,-4.254000092E1
1.223553467E1,2.045999908E1,2.261999893E1,-4.368000031E1
1.248983765E1,1.985999870E1,2.357999992E1,-4.271999741E1
1.274423218E1,2.045999908E1,2.285999870E1,-4.218000031E1
1.299880982E1,2.087999916E1,2.231999969E1,-4.241999817E1
1.325323486E1,2.027999878E1,2.321999931E1,-4.320000076E1
1.350790405E1,2.045999908E1,2.268000031E1,-4.254000092E1
1.376248169E1,2.045999908E1,2.292000008E1,-4.295999908E1
1.401693726E1,2.052000046E1,2.189999962E1,-4.265999985E1
1.427133179E1,2.039999962E1,2.273999977E1,-4.307999802E1
1.452590942E1,1.950000000E1,2.226000023E1,-4.284000015E1
1.478036499E1,2.039999962E1,2.250000000E1,-4.236000061E1
1.503497314E1,2.081999969E1,2.237999916E1,-4.259999847E1
1.528948975E1,2.105999947E1,2.321999931E1,-4.241999817E1
1.554397583E1,2.087999916E1,2.292000008E1,-4.254000092E1
1.579852295E1,2.034000015E1,2.292000008E1,-4.205999756E1
1.605303955E1,2.052000046E1,2.303999901E1,-4.229999924E1
1.630718994E1,2.015999985E1,2.321999931E1,-4.265999985E1
1.656173706E1,2.034000015E1,2.327999878E1,-4.247999954E1
1.681625366E1,2.045999908E1,2.219999886E1,-4.307999802E1
1.707067871E1,2.015999985E1,2.255999947E1,-4.200000000E1
1.732513428E1,2.039999962E1,2.285999870E1,-4.181999969E1
1.757958984E1,2.039999962E1,2.268000031E1,-4.325999832E1
1.783398438E1,2.003999901E1,2.273999977E1,-4.236000061E1
1.808856201E1,1.985999870E1,2.345999908E1,-4.302000046E1
1.834304810E1,1.937999916E1,2.250000000E1,-4.284000015E1
1.859756470E1,2.010000038E1,2.226000023E1,-4.302000046E1
1.885202026E1,1.913999939E1,2.327999878E1,-4.295999908E1
1.910647583E1,1.943999863E1,2.285999870E1,-4.265999985E1
1.936096191E1,1.985999870E1,2.363999939E1,-4.277999878E1
1.961541748E1,1.997999954E1,2.393999863E1,-4.259999847E1
1.986981201E1,2.010000038E1,2.285999870E1,-4.302000046E1
2.012438965E1,2.021999931E1,2.297999954E1,-4.313999939E1
2.037899780E1,1.961999893E1,2.250000000E1,-4.302000046E1
2.063339233E1,1.973999977E1,2.261999893E1,-4.247999954E1
2.088781738E1,2.057999992E1,2.310000038E1,-4.236000061E1
2.114233398E1,1.997999954E1,2.339999962E1,-4.343999863E1
2.139666748E1,1.919999886E1,2.310000038E1,-4.355999756E1
2.165121460E1,1.968000031E1,2.303999901E1,-4.307999802E1
2.190554810E1,1.997999954E1,2.310000038E1,-4.277999878E1
2.215997315E1,1.979999924E1,2.303999901E1,-4.355999756E1
2.241448975E1,1.973999977E1,2.381999969E1,-4.277999878E1
2.266894531E1,2.027999878E1,2.369999886E1,-4.355999756E1
2.292340088E1,1.992000008E1,2.387999916E1,-4.373999786E1
2.317788696E1,2.039999962E1,2.429999924E1,-4.391999817E1
2.343234253E1,2.045999908E1,2.400000000E1,-4.361999893E1
2.368682861E1,2.039999962E1,2.405999947E1,-4.331999969E1
2.394137573E1,1.985999870E1,2.345999908E1,-4.325999832E1
2.419570923E1,2.039999962E1,2.292000008E1,-4.247999954E1
2.445025635E1,2.015999985E1,2.315999985E1,-4.307999802E1
2.470498657E1,2.039999962E1,2.405999947E1,-4.350000000E1
2.495941162E1,2.039999962E1,2.393999863E1,-4.397999954E1
2.521389770E1,1.985999870E1,2.297999954E1,-4.373999786E1
2.546847534E1,1.955999947E1,2.351999855E1,-4.415999985E1
2.572290039E1,1.943999863E1,2.351999855E1,-4.379999924E1
2.597729492E1,2.063999939E1,2.381999969E1,-4.457999802E1
2.623168945E1,2.100000000E1,2.405999947E1,-4.397999954E1
2.648620606E1,2.052000046E1,2.477999878E1,-4.415999985E1
2.674072266E1,2.034000015E1,2.357999992E1,-4.361999893E1
2.699514770E1,2.021999931E1,2.465999985E1,-4.439999771E1
2.724954224E1,2.039999962E1,2.351999855E1,-4.421999741E1
2.750411987E1,2.021999931E1,2.447999954E1,-4.470000076E1
2.775860596E1,2.069999886E1,2.453999901E1,-4.409999847E1
2.801300049E1,2.063999939E1,2.393999863E1,-4.500000000E1
2.826733398E1,2.063999939E1,2.442000008E1,-4.452000046E1
2.852185059E1,2.010000038E1,2.381999969E1,-4.386000061E1
2.877624512E1,2.015999985E1,2.429999924E1,-4.361999893E1
2.903088379E1,2.015999985E1,2.423999977E1,-4.463999939E1
2.928527832E1,2.076000023E1,2.477999878E1,-4.397999954E1
2.953961182E1,2.087999916E1,2.400000000E1,-4.452000046E1
2.979403687E1,2.027999878E1,2.435999870E1,-4.470000076E1
3.004833984E1,2.039999962E1,2.435999870E1,-4.463999939E1
3.030267334E1,2.027999878E1,2.381999969E1,-4.404000092E1
3.055709839E1,2.093999863E1,2.334000015E1,-4.397999954E1
3.081176758E1,2.039999962E1,2.327999878E1,-4.434000015E1
3.106622315E1,2.039999962E1,2.405999947E1,-4.463999939E1
3.132067871E1,2.027999878E1,2.369999886E1,-4.397999954E1
3.157522583E1,1.973999977E1,2.387999916E1,-4.409999847E1
3.182983398E1,2.052000046E1,2.334000015E1,-4.373999786E1
3.208447266E1,2.027999878E1,2.376000023E1,-4.427999878E1
3.233892822E1,2.057999992E1,2.363999939E1,-4.355999756E1
3.259320068E1,1.997999954E1,2.400000000E1,-4.457999802E1
3.284765625E1,1.997999954E1,2.387999916E1,-4.427999878E1
3.310202026E1,1.950000000E1,2.357999992E1,-4.434000015E1
3.335638428E1,1.992000008E1,2.405999947E1,-4.368000031E1
3.361102295E1,2.052000046E1,2.381999969E1,-4.470000076E1
3.386547852E1,2.021999931E1,2.273999977E1,-4.289999771E1
3.411987305E1,2.003999901E1,2.447999954E1,-4.391999817E1
3.437435913E1,1.968000031E1,2.484000015E1,-4.434000015E1
3.462902832E1,1.992000008E1,2.453999901E1,-4.434000015E1
3.488342285E1,2.057999992E1,2.477999878E1,-4.404000092E1
3.513787842E1,2.015999985E1,2.423999977E1,-4.457999802E1
