"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,1.410184765E1,-3.696647406E0,-6.416460276E-1
2.519226070E-1,4.058171749E0,-2.621650934E0,-9.169792533E-1
5.022888180E-1,1.040280628E1,-6.086060524E0,-1.283292055E0
7.524108890E-1,5.743690014E0,-1.278503656E0,-6.129156351E-1
1.002746582E0,1.575384712E1,-3.517082214E0,1.587355733E0
1.252929688E0,7.611167431E0,-2.880224705E0,2.226607651E-1
1.503042221E0,8.662221909E0,-7.043741226E0,1.173158810E-1
1.753133774E0,1.020408726E1,-3.387795448E0,-1.340752989E-1
2.003408432E0,1.005085850E1,-4.400542736E0,2.825157940E-1
2.253652572E0,1.591186428E1,-4.355052948E0,-7.613561153E-1
2.503835678E0,5.391742229E0,-4.683058739E0,7.493851185E-1
2.753988266E0,1.088164711E1,-7.350199223E0,9.193734527E-1
3.004293442E0,5.298368454E0,-2.114080191E0,-2.035071403E-1
3.254354477E0,1.179383755E1,-1.714248419E0,1.173158884E0
3.504751205E0,6.426037312E0,-2.339135170E0,4.692635238E-1
3.754964828E0,8.930372238E0,-6.665457726E0,1.113303781E0
4.005208969E0,8.245630264E0,-2.906560898E0,-5.099649429E-1
4.255361557E0,1.074038887E1,-4.812345505E0,1.551442742E0
4.505788803E0,1.431253815E1,-4.965574265E0,1.527500629E0
4.755880356E0,6.217741966E0,-4.659116745E0,5.434837937E-1
5.006155014E0,9.354146004E0,-7.343016624E0,-1.771709323E-1
5.256399154E0,6.904877663E0,-1.924938202E0,-4.333505034E-1
5.506643295E0,1.216493893E1,-2.387019157E0,6.703764796E-1
5.756795883E0,5.762843609E0,-2.896984100E0,5.099649429E-1
6.007009506E0,9.782708168E0,-8.013393402E0,2.585737705E-1
6.258962631E0,7.225700855E0,-2.518700123E0,-1.161187768E0
6.509115219E0,1.312022495E1,-4.726154327E0,1.728613615E0
6.759267807E0,1.313459015E1,-5.190629482E0,8.619126081E-1
7.009359360E0,6.931213856E0,-5.420472622E0,5.793967843E-1
7.259359360E0,9.734824181E0,-7.019799232E0,-7.996633649E-1
7.509603500E0,6.581660271E0,-2.746149302E0,8.571242094E-1
7.759817123E0,1.207874775E1,-2.413355350E0,7.230489254E-1
8.010030746E0,5.815515995E0,-2.564189911E0,4.620809257E-1
8.260213852E0,9.258378029E0,-9.370905876E0,3.112462163E-2
8.510213852E0,6.495469093E0,-3.100491285E0,-6.081272364E-1
8.760580063E0,1.081460953E1,-5.992686749E0,-2.394201607E-2
9.012547166E0,1.275630665E1,-5.949591160E0,7.996633649E-1
9.262882859E0,6.524199486E0,-4.807557106E0,2.777273953E-1
9.512882859E0,9.720458984E0,-7.000645638E0,-5.841852427E-1
9.763065965E0,5.844246387E0,-2.667140722E0,1.795651317E-1
1.001321855E1,1.042195988E1,-2.798821688E0,7.422025502E-2
1.026355425E1,5.592854977E0,-2.734178305E0,7.158663273E-1
1.051382890E1,9.397241592E0,-6.873753071E0,5.434837937E-1
1.076401201E1,8.269572258E0,-3.509899616E0,-4.836287498E-1
1.101596514E1,1.118092155E1,-5.279214859E0,1.819593310E-1
1.126611772E1,1.294544888E1,-5.363011837E0,7.900865376E-2
1.151636186E1,5.710171223E0,-4.819528103E0,1.484405100E-1
1.176642290E1,9.459490776E0,-6.706159115E0,-2.298433632E-1
