"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.385498100E-2,1.133441329E0,-9.848369956E-1,2.146507949E-1
2.639160160E-1,7.691209316E-1,5.688512325E-1,-1.397626996E0
5.142517090E-1,-1.341167927E0,7.925567627E-1,7.195861340E-1
7.644042970E-1,-2.876213938E-2,5.933523178E-1,-2.982740477E-2
1.014678955E0,1.470064968E-1,4.431500137E-1,9.784454107E-1
1.264892578E0,-9.912285805E-1,1.653823018E0,-1.480184913E0
1.514913559E0,2.727077007E-1,-1.174454093E0,2.370213419E-1
1.765127182E0,-6.615292430E-1,1.086037159E0,8.554073572E-1
2.015279770E0,-4.255731404E-1,-4.569984376E-1,1.051948667E0
2.265676498E0,7.866978049E-1,-1.895638108E0,-1.480717540E0
2.515737533E0,1.244761467E0,-1.323591113E0,-1.182443500E0
2.766012192E0,-7.616640627E-2,-8.202536404E-2,1.375256419E0
3.016164779E0,-9.182579517E-1,3.025351167E-1,7.563377619E-1
3.266439438E0,1.523328125E-1,8.926916122E-1,3.355582952E-1
3.516714096E0,-7.829693705E-2,1.617604017E0,-1.637311459E0
3.766988754E0,4.884237647E-1,-8.735168576E-1,1.043959185E-1
4.017171860E0,-1.363538504E-1,4.490089715E-1,9.843043685E-1
4.267416000E0,-4.293015897E-1,-1.086569726E-1,1.147289872E0
4.517660141E0,6.657902598E-1,-1.457281828E0,-1.166464567E0
4.767873764E0,9.906959534E-1,-1.190965652E0,-1.152083516E0
5.018087387E0,-7.494135499E-1,7.824367285E-1,8.090683818E-1
5.268392563E0,-7.440872192E-1,1.235706806E-1,8.048073053E-1
5.518606186E0,4.191815555E-1,1.842907518E-1,-1.331580617E-2
5.768789291E0,3.302319944E-1,9.795106649E-1,-1.656486273E0
6.018972397E0,-3.984089196E-1,3.621899337E-2,6.583334208E-1
6.268972397E0,-2.929477394E-1,1.114799261E0,9.667274952E-1
6.519124985E0,-5.091964006E-1,-6.562029123E-1,8.570052385E-1
6.769308090E0,7.392935157E-1,-9.906959534E-1,-1.545698762E0
7.019308090E0,1.038632870E0,-1.198955178E0,-1.067394972E0
7.269399643E0,-6.253102422E-1,2.679139972E-1,1.164334059E0
7.519521713E0,-2.130528986E-1,-2.135855258E-1,1.011468649E0
7.769796371E0,1.129180342E-1,4.181163013E-1,2.977414131E-1
8.020071029E0,7.329019308E-1,-1.651159972E-1,-1.225586772E0
8.270193100E0,-6.247776151E-1,2.242381722E-1,1.171790883E-1
8.520254135E0,-5.187838078E-1,9.922938347E-1,1.149420381E0
8.770559311E0,-9.214537591E-2,-5.028048158E-1,1.052481294E0
9.022679002E0,3.190467060E-1,-8.623315692E-1,-1.360342741E0
9.272801072E0,6.759102941E-1,-1.072721362E0,-1.227717280E0
9.522831590E0,2.663161140E-3,2.950782478E-1,1.047687650E0
9.773014695E0,-3.675162494E-1,4.793690052E-3,6.546050310E-1
1.002319780E1,-2.503371425E-2,9.145295620E-1,6.924218684E-2
1.027347246E1,-1.816275865E-1,1.211738348E0,-1.096157074E0
1.052383867E1,-2.881540358E-1,-2.098570913E-1,2.524676621E-1
1.077386919E1,5.912217870E-2,5.038700700E-1,6.780408025E-1
1.102402178E1,-4.793690145E-2,-9.065400362E-1,7.126619220E-1
1.127411333E1,2.157160491E-1,-1.267132044E0,-8.436894417E-1
1.152429643E1,9.203884602E-1,-1.151018262E0,-6.546050310E-1
1.177435747E1,-4.522047639E-1,1.252750993E0,4.367584288E-1
1.202460161E1,-8.591358066E-1,2.806971967E-1,4.830974340E-1
1.227484575E1,4.303668439E-1,4.884237647E-1,6.562029123E-1
1.252536455E1,-4.048005044E-1,1.616006136E0,-2.258360624E0
1.277545610E1,-1.043959185E-1,-9.747169614E-1,6.285060048E-1
1.302570024E1,-4.101268202E-2,8.436894417E-1,5.001416802E-1
1.327594438E1,-3.978762627E-1,-6.785734296E-1,1.297492146E0
1.352631059E1,7.451524734E-1,-1.574993491E0,-1.278317332E0
1.377670732E1,3.169161677E-1,-6.087986231E-1,-1.575526118E0
1.402689043E1,-1.118527725E-2,6.913566589E-1,7.643272281E-1
1.427698198E1,-9.310411215E-1,9.629990458E-1,7.776430249E-1
1.452710405E1,-3.888215125E-2,1.004544377E0,9.970875382E-1
1.477731767E1,2.769687586E-2,5.842975378E-1,-1.912682295E0
1.502768388E1,-5.273059011E-2,-1.080178142E0,-2.029328793E-1
1.527792803E1,5.965480953E-2,2.609897852E-1,1.024251819E0
1.552814165E1,-8.894958496E-1,0.000000000E0,8.245146871E-1
1.577826372E1,1.278317332E0,-1.473793387E0,-5.816344023E-1
1.602826372E1,1.416801661E-1,-2.428802997E-1,-1.403485894E0
1.627835527E1,-7.973504663E-1,4.362258017E-1,1.097222418E-1
1.652847734E1,-3.749730885E-1,2.103897333E-1,1.117462397E0
1.677872148E1,-4.048005044E-1,6.466155052E-1,1.017327547E0
1.702884355E1,-4.687163606E-2,4.111920893E-1,-9.864348769E-1
1.727905718E1,-5.326322466E-2,-3.728425503E-1,-9.864348769E-1
1.752920976E1,-4.655205607E-1,4.378236830E-1,5.326322317E-1
1.777936235E1,-6.098638773E-1,-6.226470470E-1,7.344998717E-1
1.802975908E1,1.074851871E0,-1.810949564E0,-6.034722924E-1
1.827988115E1,5.539374948E-1,-5.651227832E-1,-1.397626996E0
1.853003374E1,-4.186489284E-1,9.677927494E-1,5.917543769E-1
1.878030840E1,-1.736381054E-1,6.455502510E-1,1.054079175E0
1.903064409E1,-6.269081235E-1,5.454154015E-1,5.842975378E-1
1.928082720E1,-1.810949594E-1,5.874933600E-1,-1.182443500E0
1.953101030E1,1.257012039E-1,-9.022790194E-1,-8.229168057E-1
1.978101030E1,-2.114549875E-1,-6.604639441E-2,5.161206126E-1
2.003134599E1,-9.960222989E-2,-9.518138170E-1,8.362326026E-1
2.028155962E1,2.535329461E-1,-2.119876295E-1,1.363538504E-1
2.053159014E1,3.621899188E-1,2.141181529E-1,-1.419997573E0
2.078345171E1,-5.097290277E-1,2.487392575E-1,2.524676621E-1
2.103378740E1,-3.526025414E-1,5.278385282E-1,9.427590370E-1
2.128406206E1,1.448759735E-1,-1.107875034E-1,7.574030161E-1
2.153427568E1,2.801645398E-1,3.323625028E-1,-1.096157074E0
2.178470293E1,1.448759735E-1,-8.783105612E-1,-6.194512844E-1
2.203485552E1,8.681905270E-2,1.725728363E-1,4.410194755E-1
2.228519121E1,-2.029328793E-1,-2.135855258E-1,1.005077004E0
2.253552690E1,1.438107044E-1,-1.608549356E-1,-5.699164793E-2
2.278751054E1,5.379585624E-1,-1.970739290E-2,-1.217064619E0
2.303778520E1,-6.354302764E-1,5.464806557E-1,1.368864775E-1
2.328784624E1,-3.456783295E-1,1.070590734E0,6.551376581E-1
2.353818193E1,1.699096859E-1,-3.243730366E-1,1.042361259E0
2.378827348E1,-4.500742257E-1,-2.929477394E-1,-1.408812284E0
2.403848711E1,1.043959141E0,-1.532915592E0,-7.249124646E-1
2.428882280E1,-5.028048158E-1,6.625944972E-1,5.480785370E-1
2.453903642E1,-4.367584288E-1,1.699096859E-1,4.990763962E-1
2.478921953E1,-4.271710515E-1,1.005609632E0,5.949501991E-1
2.503940264E1,2.466087192E-1,7.201187611E-1,-1.183508754E0
2.528970781E1,-3.494067490E-1,-1.310275346E-1,-2.620550692E-1
2.553998247E1,-2.322276533E-1,6.407565475E-1,4.729774296E-1
2.579040972E1,-2.295644879E-1,-5.358279943E-1,7.504788041E-1
2.604071489E1,6.657902598E-1,-1.453020692E0,-1.089765549E0
2.629089800E1,1.236239433E0,-1.018925428E0,-1.031708598E0
2.654092851E1,-8.692557812E-1,8.016114831E-1,7.850999236E-1
2.679098955E1,-8.218515515E-1,5.874933600E-1,4.399542212E-1
2.704129472E1,-1.209075153E-1,1.763012707E-1,5.858954787E-1
2.729156938E1,-1.326254308E-1,8.372978568E-1,-1.588309288E0
2.754358354E1,3.573962152E-1,-1.173921466E0,-2.167813182E-1
2.779361406E1,2.364887148E-1,-2.583266199E-1,7.856325507E-1
2.804376665E1,-7.451524734E-1,-1.752360016E-1,8.639294505E-1
2.829398027E1,9.938917160E-1,-4.010720551E-1,-3.355583176E-2
2.854422441E1,1.438107044E-1,9.875001311E-1,-1.215999365E0
2.879446855E1,-1.027980208E0,6.668555737E-1,1.432780623E-1
2.904645220E1,-2.269013226E-1,1.038632870E0,8.836368918E-1
2.929669634E1,-4.223773479E-1,2.343581803E-2,9.486179948E-1
2.954684892E1,-2.130528986E-1,-8.213189244E-1,-1.589374542E0
2.979700151E1,7.062703371E-1,-1.370995402E0,-9.912285805E-1
3.004733720E1,-2.545982003E-1,6.801713705E-1,6.285060048E-1
3.029925981E1,-9.321063757E-2,-1.603222936E-1,4.697816372E-1
3.054938188E1,8.202536404E-2,8.042746782E-1,8.117315173E-1
3.079944292E1,-2.615224123E-1,1.301753163E0,-1.638909340E0
3.104947344E1,-2.002697140E-1,-1.304416299E0,2.039981484E-1
3.130145708E1,-8.894958496E-1,9.171926975E-1,3.531351686E-1
