"Time (s)","Illuminance (lx)"
4.752502440E-1,6.300000000E1
8.517150880E-1,8.440000000E2
1.177673340E0,4.420000000E2
1.439535141E0,4.420000000E2
1.841238022E0,4.630000000E2
2.186269760E0,2.950000000E2
2.524435043E0,4.320000000E2
2.842184067E0,7.260000000E2
3.171163559E0,6.520000000E2
3.692159653E0,4.880000000E2
4.187978744E0,8.090000000E2
4.664724350E0,9.050000000E2
5.002950668E0,9.970000000E2
5.339925766E0,8.850000000E2
5.737081528E0,8.450000000E2
6.035543442E0,9.220000000E2
6.332540512E0,9.490000000E2
6.829549789E0,1.086000000E3
7.126607895E0,9.100000000E2
7.424917221E0,9.750000000E2
7.920736313E0,1.133000000E3
8.219259262E0,9.430000000E2
8.516347885E0,9.580000000E2
8.814931869E0,1.067000000E3
9.112003953E0,1.017000000E3
9.537449510E0,9.160000000E2
9.834660203E0,1.427000000E3
1.016028276E1,1.397000000E3
1.048614946E1,8.800000000E2
1.078455034E1,1.403000000E3
1.108163896E1,1.761000000E3
1.137997881E1,1.758000000E3
1.167725054E1,1.821000000E3
1.197577348E1,1.770000000E3
1.232068315E1,1.209000000E3
1.282584062E1,3.780000000E2
1.316284624E1,1.098000000E3
1.348865190E1,1.001000000E3
1.391446367E1,2.030000000E2
1.421158281E1,5.200000000E2
1.453714433E1,1.072000000E3
1.483905473E1,7.640000000E2
1.526007524E1,9.430000000E2
1.558581987E1,1.476000000E3
1.588419023E1,1.105000000E3
1.640814653E1,8.160000000E2
1.673379961E1,1.434000000E3
1.703091875E1,1.001000000E3
1.732944170E1,8.570000000E2
1.762665239E1,1.012000000E3
1.812378374E1,1.184000000E3
1.864795366E1,7.530000000E2
1.897369829E1,1.448000000E3
1.926306597E1,2.460000000E2
1.975198808E1,7.010000000E2
2.004910722E1,1.548000000E3
2.037500444E1,1.367000000E3
2.070029131E1,1.067000000E3
2.099878374E1,1.228000000E3
2.132452837E1,1.354000000E3
2.162180010E1,9.060000000E2
2.204745928E1,9.470000000E2
2.234488359E1,1.338000000E3
2.267059770E1,1.343000000E3
2.299618974E1,8.030000000E2
2.329456011E1,1.236000000E3
2.362039629E1,1.495000000E3
2.404459062E1,8.950000000E2
2.434314409E1,1.348000000E3
2.464038530E1,1.702000000E3
2.503751054E1,1.826000000E3
2.533615556E1,1.633000000E3
2.563361040E1,1.528000000E3
2.595941606E1,1.463000000E3
2.638486162E1,7.710000000E2
2.668185869E1,1.149000000E3
2.698047319E1,1.375000000E3
2.727768389E1,1.371000000E3
2.777447954E1,1.361000000E3
2.807159868E1,1.815000000E3
2.839731279E1,1.734000000E3
2.872299639E1,1.310000000E3
2.902136675E1,1.448000000E3
2.931869951E1,2.102000000E3
2.961703935E1,2.089000000E3
2.991431108E1,1.677000000E3
3.021274248E1,1.766000000E3
3.053821245E1,1.932000000E3
3.081940141E1,9.290000000E2
3.126047197E1,1.134000000E3
3.155749956E1,1.764000000E3
3.188296953E1,1.551000000E3
3.220883623E1,1.229000000E3
3.250720659E1,1.469000000E3
3.283276811E1,1.510000000E3
3.313449541E1,6.830000000E2
3.355569902E1,9.720000000E2
3.388135210E1,1.341000000E3
3.417841020E1,9.000000000E2
3.470276323E1,8.160000000E2
3.502866045E1,1.217000000E3
3.532715288E1,9.810000000E2
3.585132280E1,8.540000000E2
3.617685381E1,1.262000000E3
3.647397295E1,1.007000000E3
3.699795976E1,9.570000000E2
3.732391802E1,1.205000000E3
3.762247148E1,1.014000000E3
3.804687944E1,9.760000000E2
3.834546343E1,1.256000000E3
3.867117754E1,1.169000000E3
3.896847978E1,9.070000000E2
3.926721636E1,1.022000000E3
3.956439653E1,1.127000000E3
3.996155229E1,1.113000000E3
4.045871416E1,1.036000000E3
4.075589433E1,1.196000000E3
4.105432573E1,1.165000000E3
4.135159746E1,9.760000000E2
4.164990679E1,1.004000000E3
4.194695226E1,1.136000000E3
4.224538365E1,1.092000000E3
4.254228917E1,9.750000000E2
4.284059850E1,1.023000000E3
4.333632604E1,1.119000000E3
4.376180211E1,9.570000000E2
4.405892125E1,1.180000000E3
4.455583898E1,1.274000000E3
4.485298863E1,1.276000000E3
4.515151158E1,1.369000000E3
4.554842320E1,1.401000000E3
4.584572545E1,1.271000000E3
4.614424840E1,1.333000000E3
4.644161168E1,1.561000000E3
4.677184239E1,9.250000000E2
4.709279576E1,1.066000000E3
4.739113561E1,1.351000000E3
4.771691075E1,1.571000000E3
4.814150182E1,9.660000000E2
4.844005528E1,1.708000000E3
4.873726598E1,2.060000000E3
4.900752965E1,1.229000000E3
4.929006139E1,1.056000000E3
4.958724156E1,1.644000000E3
4.991295567E1,1.809000000E3
5.023888341E1,5.460000000E2
5.063582555E1,1.215000000E3
5.093431798E1,1.612000000E3
5.125963536E1,1.437000000E3
5.158519688E1,1.228000000E3
5.188234654E1,1.552000000E3
5.218077794E1,2.008000000E3
5.247789708E1,1.923000000E3
5.277638951E1,1.532000000E3
5.307356969E1,1.542000000E3
5.337218419E1,1.770000000E3
5.366924230E1,1.721000000E3
5.416619054E1,1.683000000E3
5.446340123E1,2.094000000E3
5.476195470E1,2.059000000E3
5.516249791E1,1.550000000E3
5.548491612E1,2.336000000E3
5.581044713E1,2.602000000E3
5.610771886E1,1.447000000E3
5.660485021E1,2.002000000E3
5.700185338E1,2.099000000E3
5.729918614E1,1.723000000E3
5.759676305E1,1.897000000E3
5.789403478E1,2.533000000E3
5.819148961E1,2.364000000E3
5.871575108E1,1.556000000E3
5.904128209E1,3.373000000E3
5.950414220E1,5.650000000E2
5.980144444E1,2.791000000E3
6.005318395E1,2.700000000E1
6.043782750E1,6.100000000E2
6.076351109E1,1.460000000E3
6.108928624E1,2.377000000E3
6.159624425E1,7.820000000E2
6.185045567E1,6.260000000E2
6.214760533E1,2.605000000E3
6.247322789E1,2.037000000E3
6.277184239E1,1.993000000E3
6.306902257E1,1.706000000E3
6.336745396E1,1.945000000E3
6.386305943E1,2.264000000E3
6.416170445E1,1.645000000E3
6.455879918E1,1.687000000E3
6.505446568E1,1.830000000E3
6.535295812E1,1.511000000E3
6.565010777E1,1.579000000E3
6.594869176E1,1.929000000E3
6.624568883E1,1.806000000E3
6.654427281E1,1.467000000E3
6.684163609E1,1.578000000E3
6.733870641E1,1.737000000E3
6.763591710E1,1.347000000E3
6.793447057E1,1.403000000E3
6.826018468E1,1.660000000E3
6.855742589E1,1.210000000E3
6.898320714E1,1.162000000E3
6.930886022E1,1.414000000E3
6.960597936E1,1.179000000E3
7.013017980E1,1.093000000E3
7.045589391E1,1.365000000E3
7.075450841E1,1.037000000E3
7.127892247E1,9.980000000E2
7.160466710E1,1.352000000E3
7.190160314E1,1.137000000E3
7.242563183E1,1.048000000E3
7.275128491E1,1.385000000E3
