"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.565429700E-2,-1.679999948E0,6.443999481E1,5.039999962E0
2.998352050E-1,-7.679999828E0,5.369999695E1,-4.380000114E0
5.540161130E-1,-3.359999895E0,5.411999893E1,8.340000153E0
8.080749510E-1,-5.579999924E0,5.795999908E1,5.999999866E-2
1.062377930E0,-2.339999914E0,6.486000061E1,3.959999800E0
1.316528320E0,-5.639999866E0,5.555999756E1,2.639999866E0
1.570608139E0,-3.779999971E0,4.745999908E1,7.799999714E0
1.824666977E0,-4.859999657E0,5.700000000E1,3.000000000E0
2.078939438E0,-2.639999866E0,6.311999893E1,3.539999962E0
2.333181381E0,-1.079999924E0,6.215999985E1,6.239999771E0
2.587240219E0,-4.079999924E0,4.493999863E1,2.220000029E0
2.841482162E0,-2.279999971E0,5.213999939E1,5.699999809E0
3.095693588E0,-2.279999971E0,5.927999878E1,5.399999619E-1
3.349843979E0,4.199999869E-1,6.504000092E1,9.599999785E-1
3.604146957E0,-4.500000000E0,5.189999771E1,-3.000000000E0
3.858266830E0,-2.639999866E0,4.775999832E1,2.700000048E0
4.112508774E0,-3.359999895E0,5.777999878E1,-1.079999924E0
4.366750717E0,-1.799999923E-1,6.683999634E1,4.799999893E-1
4.620962143E0,-2.039999962E0,6.215999985E1,3.000000000E0
4.875173569E0,-3.059999943E0,5.141999817E1,5.940000057E0
5.129354477E0,-3.240000010E0,5.736000061E1,3.720000029E0
5.383596420E0,-8.399999738E-1,6.522000122E1,3.359999895E0
5.637746811E0,0.000000000E0,6.690000153E1,4.920000076E0
5.891988754E0,-6.299999714E0,5.153999710E1,3.299999952E0
6.145956039E0,-4.619999886E0,5.423999786E1,7.259999752E0
6.399953842E0,-4.679999828E0,6.353999710E1,1.919999957E0
6.654195785E0,-5.399999619E-1,6.863999939E1,6.539999962E0
6.908224106E0,-5.099999905E0,5.795999908E1,4.500000000E0
7.162252426E0,-4.199999809E0,5.045999908E1,1.146000004E1
7.416280746E0,-6.119999886E0,5.700000000E1,4.559999943E0
7.670583725E0,-2.399999857E0,6.545999908E1,6.059999943E0
7.924734115E0,-2.579999924E0,6.593999481E1,4.319999695E0
8.178884506E0,-5.519999981E0,5.334000015E1,7.500000000E0
8.432882309E0,-6.539999962E0,5.261999893E1,6.179999828E0
8.687032699E0,-6.000000000E0,6.185999680E1,1.559999943E0
8.941197068E0,-1.799999952E0,7.008000183E1,2.460000038E0
9.195500047E0,-6.659999847E0,5.850000000E1,1.319999933E0
9.449436814E0,-4.619999886E0,5.129999924E1,9.359999657E0
9.703587205E0,-4.799999714E0,6.095999908E1,1.679999948E0
9.957737596E0,-2.220000029E0,6.665999603E1,5.400000095E0
1.021197954E1,-2.879999876E0,6.234000015E1,5.819999695E0
1.046622148E1,-6.179999828E0,5.147999954E1,6.179999828E0
1.072046343E1,-4.679999828E0,5.603999710E1,6.299999714E0
1.097436968E1,-5.039999962E0,6.197999954E1,1.139999986E0
1.122845903E1,-2.639999866E0,6.701999664E1,3.000000000E0
1.148263994E1,-6.059999943E0,5.645999908E1,1.199999973E-1
1.173672930E1,-2.639999866E0,5.861999893E1,8.880000114E0
1.199087969E1,-3.179999828E0,6.371999741E1,1.259999990E0
1.224512163E1,0.000000000E0,6.936000061E1,4.440000057E0
1.249951616E1,-2.399999946E-1,6.540000153E1,6.659999847E0
1.275366655E1,-4.619999886E0,5.027999878E1,5.339999676E0
